Selection	View	Channel	Begin Date Time	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Call Type	Match
4	Spectrogram 1	3	2019/2/4  22:40:59.2236	60.223592029	69.838497192	21.400	28.400	Antarctic	Match
5	Spectrogram 1	3	2019/2/4  22:44:05.3354	246.335398460	248.124218025	47.000	77.200	40Hz	
6	Spectrogram 1	3	2019/2/4  22:46:30.3043	391.304336141	398.608682699	19.100	28.800	Antarctic	Match
7	Spectrogram 1	3	2019/2/4  22:47:25.4596	446.459624819	455.254654348	21.000	27.500	Antarctic	Match
8	Spectrogram 1	3	2019/2/4  22:48:32.9876	513.987563406	523.527934420	20.000	29.500	Antarctic	Match
9	Spectrogram 1	3	2019/2/4  22:49:31.8696	572.869559511	580.248440217	20.000	28.000	Antarctic	Match
10	Spectrogram 1	3	2019/2/4  22:49:43.1988	584.198750091	591.726699094	19.000	29.500	Antarctic	Match
11	Spectrogram 1	3	2019/2/4  22:52:38.2050	759.204968388	769.937885779	20.000	28.500	Antarctic	Match
12	Spectrogram 1	3	2019/2/4  22:53:46.7764	827.776385054	837.689426812	21.000	29.500	Antarctic	Match
13	Spectrogram 1	3	2019/2/4  22:56:14.5776	975.577620380	982.583830344	20.000	29.500	Antarctic	Match
14	Spectrogram 1	3	2019/2/4  22:56:38.5776	999.577634964	1000.919249638	38.500	62.500	40Hz	
15	Spectrogram 1	3	2019/2/4  22:56:43.3478	1004.347820471	1008.298130344	42.000	93.500	D	Match
16	Spectrogram 1	3	2019/2/4  22:57:26.1304	1047.130421739	1055.254643931	19.500	29.500	Antarctic	Match
17	Spectrogram 1	3	2019/2/4  22:58:10.8509	1091.850929620	1093.192544293	44.000	77.000	40Hz	
18	Spectrogram 1	3	2019/2/4  22:59:46.7018	1187.701844656	1195.229793659	19.000	30.000	Antarctic	Match
19	Spectrogram 1	3	2019/2/4  23:00:42.3354	1242.335394293	1249.192535960	20.000	28.500	Antarctic	
20	Spectrogram 1	3	2019/2/4  23:00:54.7826	1254.782597101	1262.534148551	19.000	29.500	Antarctic	
21	Spectrogram 1	3	2019/2/4  23:01:23.9254	1283.925449185	1290.409920109	19.500	30.000	Antarctic	
22	Spectrogram 1	3	2019/2/4  23:08:02.0124	1682.012411594	1685.217379982	29.500	77.000	D	
23	Spectrogram 1	3	2019/2/4  23:09:39.7267	1779.726699094	1788.670796920	20.000	29.500	Antarctic	
24	Spectrogram 1	3	2019/2/4  23:10:47.2547	1847.254656431	1852.322978533	17.500	29.500	Antarctic	
25	Spectrogram 1	3	2019/2/4  23:11:33.7640	1893.763965127	1901.739119022	19.500	30.000	Antarctic	
26	Spectrogram 1	3	2019/2/4  23:11:44.6460	1904.645950815	1910.459614402	19.500	30.500	Antarctic	
27	Spectrogram 1	3	2019/2/4  23:10:56.0497	1856.049685960	1861.788815399	36.500	75.000	D	
28	Spectrogram 1	3	2019/2/4  23:11:02.5342	1862.534156884	1868.645957065	38.500	71.500	D	
29	Spectrogram 1	3	2019/2/4  23:12:01.4161	1921.416134239	1926.037251449	32.500	69.000	D	
30	Spectrogram 1	3	2019/2/4  23:15:28.1739	2128.173899819	2139.726692844	18.500	29.500	Antarctic	Match
31	Spectrogram 1	3	2019/2/4  23:19:39.2795	2379.279502536	2393.142854167	18.500	30.000	Antarctic	
32	Spectrogram 1	3	2019/2/4  23:20:49.9379	2449.937875362	2463.428556250	20.000	29.000	Antarctic	
33	Spectrogram 1	3	2019/2/4  23:21:48.8944	2508.894405616	2510.161486141	41.500	72.500	40Hz	
