Selection	View	Channel	Begin Date Time	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Call Type	Match
1	Spectrogram 1	2	2019/2/4  13:40:35.7019	35.701857156	39.354030435	24.5	78.8	D	Match
2	Spectrogram 1	2	2019/2/4  13:49:26.7578	566.757759330	568.993783786	35.1	81.7	D	Match
3	Spectrogram 1	2	2019/2/4  13:50:39.2795	639.279485870	642.260851812	42.3	80.8	D	
4	Spectrogram 1	2	2019/2/4  13:50:42.5590	642.558988406	644.869547011	55.8	91.3	D	
5	Spectrogram 1	2	2019/2/4  13:52:26.3851	746.385076087	750.857125000	39.9	91.3	D	
6	Spectrogram 1	2	2019/2/4  13:57:23.7764	1043.776385054	1051.975141395	30.3	86.5	D	Match
7	Spectrogram 1	2	2019/2/4  13:58:05.9627	1085.962713134	1089.763954710	44.2	92.8	D	
8	Spectrogram 1	2	2019/2/4  14:00:15.3540	1215.354032518	1217.142852083	47.6	98.6	D	
9	Spectrogram 1	2	2019/2/4  14:01:41.5155	1301.515526993	1308.596271105	16.3	29.8	Antarctic	Match
10	Spectrogram 1	2	2019/2/4  14:08:20.8696	1700.869551178	1707.950295290	46.6	87.0	D	Match
11	Spectrogram 1	2	2019/2/4  14:08:14.0869	1694.086943659	1696.844707156	28.4	74.0	D	Match
12	Spectrogram 1	2	2019/2/4  14:17:04.0248	2224.024833605	2234.534148551	20.7	28.4	Antarctic	
13	Spectrogram 1	2	2019/2/4  14:20:41.8882	2441.888187319	2445.018621558	43.3	94.2	D	Match
14	Spectrogram 1	2	2019/2/4  14:21:47.6273	2507.627325091	2511.726703261	41.3	85.1	D	
15	Spectrogram 1	3	2019/2/4  14:41:09.0621	3670.062093388	3677.217371649	17.8	27.9	Antarctic	
16	Spectrogram 1	3	2019/2/4  14:42:12.7143	3733.714275000	3737.962721467	39.4	91.3	D	Match
17	Spectrogram 1	3	2019/2/4  14:47:57.7329	4078.732904891	4088.645946649	17.8	29.3	Antarctic	
18	Spectrogram 1	3	2019/2/4  14:49:57.7329	4198.732902808	4206.335385960	20.7	27.9	Antarctic	
19	Spectrogram 1	3	2019/2/4  14:56:23.8199	4584.819867301	4595.478250543	17.3	29.3	Antarctic	Match
20	Spectrogram 1	3	2019/2/4  15:13:42.5590	5622.559005072	5624.795029529	21.2	73.6	D	
21	Spectrogram 1	3	2019/2/4  15:15:20.7205	5720.720478714	5723.329173913	44.7	99.0	D	
22	Spectrogram 1	3	2019/2/4  15:19:57.9876	5997.987567572	6000.968933514	45.7	83.2	D	Match
23	Spectrogram 1	3	2019/2/4  15:21:07.3789	6067.378878623	6074.086951993	19.2	30.3	Antarctic	
24	Spectrogram 1	3	2019/2/4  15:22:37.4907	6157.490664221	6162.931657065	28.4	91.8	D	Match
25	Spectrogram 1	3	2019/2/4  15:30:55.6025	6655.602472736	6663.577626630	17.8	30.8	Antarctic	Match
26	Spectrogram 1	3	2019/2/4  15:33:23.9254	6803.925447101	6808.248427717	36.5	86.1	D	
27	Spectrogram 1	3	2019/2/4  15:37:32.1428	7052.142845833	7056.242224004	22.6	87.0	D	Match
28	Spectrogram 1	3	2019/2/4  15:37:38.4037	7058.403714312	7064.515514493	25.0	84.1	D	Match
29	Spectrogram 1	3	2019/2/4  15:38:11.3478	7091.347807971	7098.428552083	20.2	28.4	Antarctic	Match
30	Spectrogram 1	3	2019/2/4  15:38:03.8199	7083.819858967	7088.739112772	33.2	99.0	D	Match
31	Spectrogram 1	3	2019/2/4  15:37:50.1056	7070.105575634	7074.055885507	42.8	90.4	D	Match
32	Spectrogram 1	3	2019/2/4  15:38:24.5404	7104.540371014	7113.335400543	25.0	79.8	D	Match
33	Spectrogram 1	3	2019/2/4  15:39:05.1615	7145.161481975	7149.335394293	29.8	87.5	D	Match
34	Spectrogram 1	3	2019/2/4  15:41:00.4658	7260.465828533	7265.236014040	44.2	87.5	D	Match
35	Spectrogram 1	3	2019/2/4  15:41:44.0683	7304.068305435	7307.422342120	35.6	93.3	D	Match
36	Spectrogram 1	3	2019/2/4  15:41:57.3354	7317.335402627	7324.937885779	25.5	84.1	D	Match
37	Spectrogram 1	3	2019/2/4  15:43:28.2671	7408.267063859	7417.136627536	20.7	28.4	Antarctic	Match
38	Spectrogram 1	3	2019/2/4  15:44:37.8820	7477.881977355	7485.931665399	19.7	31.2	Antarctic	Match
39	Spectrogram 1	3	2019/2/4  15:46:58.3043	7618.304331975	7625.086939493	31.7	98.6	D	Match
40	Spectrogram 1	3	2019/2/4  15:47:35.6460	7655.645959149	7663.546578895	26.0	87.5	D	Match
41	Spectrogram 1	3	2019/2/4  15:50:27.2236	7827.223587862	7834.826071014	19.2	31.7	Antarctic	Match
42	Spectrogram 1	3	2019/2/4  15:51:35.1988	7895.198750091	7903.397506431	20.7	29.3	Antarctic	Match
43	Spectrogram 1	3	2019/2/4  15:52:51.7453	7971.745339402	7990.155274094	17.3	29.3	Antarctic	Match
44	Spectrogram 1	3	2019/2/4  15:54:04.9379	8044.937873279	8052.614890580	19.7	30.3	Antarctic	Match
45	Spectrogram 1	3	2019/2/4  15:53:50.9255	8030.925453351	8035.173899819	38.5	89.4	D	Match
46	Spectrogram 1	3	2019/2/4  15:56:56.0683	8216.068315851	8218.900613496	33.2	82.7	D	Match
47	Spectrogram 1	3	2019/2/4  15:57:20.5901	8240.590050725	8244.689428895	38.9	94.2	D	Match
48	Spectrogram 1	3	2019/2/4  15:57:25.1366	8245.136633786	8248.192533877	29.8	89.9	D	Match
49	Spectrogram 1	3	2019/2/4  15:57:32.7391	8252.739116938	8255.422346286	27.4	61.1	D	Match
50	Spectrogram 1	3	2019/2/4  15:57:54.2795	8274.279485870	8283.149049547	18.8	31.2	Antarctic	Match
51	Spectrogram 1	3	2019/2/4  15:58:15.2981	8295.298134511	8297.385090670	27.9	74.0	D	Match
52	Spectrogram 1	3	2019/2/4  15:59:37.2112	8377.211163768	8384.217373732	33.2	82.7	D	Match
53	Spectrogram 1	3	2019/2/4  15:59:33.7081	8373.708058786	8382.950293207	21.2	29.8	Antarctic	
54	Spectrogram 1	3	2019/2/4  16:01:46.2733	8507.273290489	8515.322978533	20.2	28.4	Antarctic	Match
55	Spectrogram 1	3	2019/2/4  16:03:19.5155	8600.515510326	8607.894391033	46.6	93.8	D	Match
56	Spectrogram 1	3	2019/2/4  16:05:36.2857	8737.285710417	8747.422354620	17.3	31.7	Antarctic	
57	Spectrogram 1	3	2019/2/4  16:06:48.0621	8809.062095471	8815.770168841	18.3	28.4	Antarctic	Match
58	Spectrogram 1	3	2019/2/4  16:07:43.5155	8864.515520743	8872.267072192	32.2	84.1	D	Match
59	Spectrogram 1	3	2019/2/4  16:08:08.1118	8889.111789764	8902.900607246	19.2	28.4	Antarctic	Match
60	Spectrogram 1	3	2019/2/4  16:09:13.6273	8954.627325091	8962.453410688	18.3	29.8	Antarctic	Match
61	Spectrogram 1	3	2019/2/4  16:10:22.1987	9023.198741757	9031.173895652	19.7	28.8	Antarctic	Match
