Selection	View	Channel	Begin Date Time	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Call Type	Match
1	Spectrogram 1	3	2019/2/5  10:22:01.1925	121.192544293	124.621115127	30.3	85.4	D	
2	Spectrogram 1	3	2019/2/5  10:22:33.1677	153.167694022	160.770177174	19.1	29.9	Antarctic	Match
3	Spectrogram 1	3	2019/2/5  10:23:05.4410	185.440980344	191.478246377	20.1	29.9	Antarctic	
4	Spectrogram 1	3	2019/2/5  10:23:21.3913	201.391288134	205.341598007	30.9	74.0	D	
5	Spectrogram 1	3	2019/2/5  10:23:26.3105	206.310541938	209.440976178	32.8	69.1	D	
6	Spectrogram 1	3	2019/2/5  10:23:35.6273	215.627310507	219.652154529	38.2	78.9	D	
7	Spectrogram 1	3	2019/2/5  10:24:18.9317	258.931669565	261.987569656	21.1	78.9	D	
8	Spectrogram 1	3	2019/2/5  10:25:07.1553	307.155263678	313.267063859	20.6	28.9	Antarctic	
9	Spectrogram 1	3	2019/2/5  10:25:48.0000	347.999995833	349.714281250	31.9	75.0	D	Match
10	Spectrogram 1	3	2019/2/5  10:26:42.7081	402.708060870	404.496880435	34.3	82.4	D	Match
11	Spectrogram 1	3	2019/2/5  10:27:25.5652	445.565215036	457.416144656	14.7	28.9	Antarctic	Match
12	Spectrogram 1	3	2019/2/5  10:27:38.3106	458.310554438	466.211174185	19.6	29.4	Antarctic	
13	Spectrogram 1	3	2019/2/5  10:27:46.1366	466.136640036	471.055893841	41.2	80.4	D	Match
14	Spectrogram 1	3	2019/2/5  10:27:52.6956	472.695645109	476.273284239	44.1	82.8	D	Match
15	Spectrogram 1	3	2019/2/5  10:27:59.7019	479.701855072	482.832289312	45.6	83.3	D	Match
16	Spectrogram 1	3	2019/2/5  10:28:05.9627	485.962723551	489.391294384	43.6	77.5	D	Match
17	Spectrogram 1	3	2019/2/5  10:28:26.0869	506.086943659	510.782595018	38.7	69.1	D	
18	Spectrogram 1	3	2019/2/5  10:28:47.8509	527.850915036	538.360229982	19.6	29.9	Antarctic	Match
19	Spectrogram 1	3	2019/2/5  10:28:43.1553	523.155263678	526.881971105	45.6	72.1	D	
20	Spectrogram 1	3	2019/2/5  10:28:59.5528	539.552776359	542.161471558	43.1	77.9	D	
21	Spectrogram 1	3	2019/2/5  10:29:50.9068	590.906823460	607.677006884	18.6	28.9	Antarctic	Match
22	Spectrogram 1	3	2019/2/5  10:29:58.8074	598.807443207	602.161479891	43.1	95.6	D	Match
23	Spectrogram 1	3	2019/2/5  10:30:54.1863	654.186334330	661.639749185	21.6	28.4	Antarctic	Match
24	Spectrogram 1	3	2019/2/5  10:31:09.7640	669.763971377	685.863347464	14.2	28.4	Antarctic	Match
25	Spectrogram 1	3	2019/2/5  10:32:20.4969	740.496878351	754.062093388	14.2	28.9	Antarctic	Match
26	Spectrogram 1	3	2019/2/5  10:32:18.3354	738.335388043	741.391288134	44.1	88.7	D	
27	Spectrogram 1	3	2019/2/5  10:32:57.8385	777.838505525	780.670803170	40.7	71.6	D	
