Selection	View	Channel	Begin Date Time	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Call Type	Match
1	Spectrogram 1	2	2019/2/4  4:36:35.1242	995.124220109	1000.714281250	20.800	30.700	Antarctic	
2	Spectrogram 1	2	2019/2/4  4:37:11.3478	1031.347816304	1041.409926359	20.300	27.800	Antarctic	
3	Spectrogram 1	2	2019/2/4  4:42:13.6584	1333.658379076	1341.186328080	21.200	27.800	Antarctic	Match
4	Spectrogram 1	2	2019/2/4  4:42:44.5901	1364.590050725	1366.826075181	33.000	55.700	D	
5	Spectrogram 1	2	2019/2/4  4:42:50.7764	1370.776385054	1379.198743841	20.800	29.700	Antarctic	Match
6	Spectrogram 1	2	2019/2/4  4:43:02.7018	1382.701848822	1388.813649004	20.800	28.800	Antarctic	Match
7	Spectrogram 1	2	2019/2/4  4:43:26.7764	1406.776378804	1413.708054620	20.300	27.800	Antarctic	Match
8	Spectrogram 1	2	2019/2/4  4:43:34.3789	1414.378880707	1420.863351630	33.500	75.900	D	Match
9	Spectrogram 1	2	2019/2/4  4:43:41.6832	1421.683227264	1426.826083514	50.900	75.000	D	Match
10	Spectrogram 1	2	2019/2/4  4:44:03.3727	1443.372664493	1450.080737862	35.800	75.000	D	Match
11	Spectrogram 1	2	2019/2/4  4:47:21.8571	1641.857139583	1649.534156884	18.400	29.700	Antarctic	
12	Spectrogram 1	2	2019/2/4  4:50:51.8944	1851.894407699	1858.229810326	35.800	83.000	D	Match
13	Spectrogram 1	2	2019/2/4  4:51:01.6584	1861.658381159	1865.906827627	39.600	77.800	D	Match
14	Spectrogram 1	2	2019/2/4  4:53:26.8509	2006.850921286	2016.838497192	21.200	28.800	Antarctic	Match
15	Spectrogram 1	2	2019/2/4  4:53:56.4410	2036.440978261	2047.173895652	20.300	30.200	Antarctic	
16	Spectrogram 1	2	2019/2/4  4:54:12.6894	2052.689422645	2061.335383877	19.300	29.200	Antarctic	
17	Spectrogram 1	2	2019/2/4  4:54:32.7391	2072.739127355	2084.515522826	21.200	28.300	Antarctic	Match
18	Spectrogram 1	2	2019/2/4  4:54:52.2671	2092.267074275	2101.434774547	20.300	28.300	Antarctic	Match
19	Spectrogram 1	2	2019/2/4  4:55:10.4534	2110.453406522	2120.813653170	20.300	30.700	Antarctic	Match
20	Spectrogram 1	2	2019/2/4  4:55:30.3540	2130.354024185	2136.689426812	21.200	28.300	Antarctic	Match
21	Spectrogram 1	2	2019/2/4  4:57:00.0186	2220.018623641	2223.149057880	39.600	70.800	D	
22	Spectrogram 1	2	2019/2/4  5:05:58.1553	2758.155269928	2762.552784692	48.100	91.000	D	Match
23	Spectrogram 1	2	2019/2/4  5:06:55.7702	2815.770185507	2825.086954076	20.300	28.800	Antarctic	
