Selection	View	Channel	Begin Date Time	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Call Type	Match
3	Spectrogram 1	3	2019/2/5  23:23:34.5093	7876.509312862	7885.304342391	16.9	27.6	Antarctic	Match
8	Spectrogram 1	3	2019/2/5  23:58:41.2024	9985.202400453	9991.314200634	21.8	28.4	Antarctic	
6	Spectrogram 1	3	2019/2/5  23:41:20.2112	8944.211178351	8955.913039674	20.9	28.9	Antarctic	
7	Spectrogram 1	3	2019/2/5  23:44:58.5528	9161.552793025	9168.409934692	21.3	28.9	Antarctic	
4	Spectrogram 1	3	2019/2/5  23:33:47.5528	8489.552778442	8497.155261594	19.1	31.1	Antarctic	
2	Spectrogram 1	3	2019/2/5  23:23:58.4783	7901.478252627	7904.236016123	31.1	73.3	D	Match
1	Spectrogram 1	3	2019/2/5  23:23:43.0497	7886.049683877	7888.956515670	36.9	73.8	D	
5	Spectrogram 1	3	2019/2/5  23:38:07.5279	8749.527944837	8753.850925453	29.3	78.2	D	Match
