Selection	View	Channel	Begin Date Time	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Call Type	Match
9	Spectrogram 1	1	2019/2/4  9:35:52.1428	2153.142839583	2162.832278895	12.0	22.0	Antarctic	
8	Spectrogram 1	1	2019/2/4  9:35:43.4223	2144.422344203	2152.546566395	14.4	23.0	Antarctic	Match
17	Spectrogram 1	1	2019/2/4  10:07:20.7950	4040.795023279	4051.677008967	20.1	27.3	Antarctic	
19	Spectrogram 1	1	2019/2/4  10:10:59.4783	4259.478252627	4266.558996739	19.6	27.8	Antarctic	
25	Spectrogram 1	1	2019/2/4  11:08:25.6025	7705.602466486	7713.726688678	19.1	27.8	Antarctic	
2	Spectrogram 1	1	2019/2/4  9:15:06.4845	906.484464674	921.614896830	21.5	28.2	Antarctic	
6	Spectrogram 1	1	2019/2/4  9:33:24.6397	2005.639740851	2014.062099638	21.1	28.2	Antarctic	Match
10	Spectrogram 1	1	2019/2/4  9:43:42.7826	2622.782603351	2631.652167029	21.5	28.2	Antarctic	
23	Spectrogram 1	1	2019/2/4  10:47:10.8509	6431.850921286	6444.670794837	21.1	28.2	Antarctic	Match
26	Spectrogram 1	1	2019/2/4  11:09:34.9192	7774.919243388	7784.310546105	19.1	28.2	Antarctic	
27	Spectrogram 1	1	2019/2/4  11:09:52.8820	7792.881973188	7802.198741757	17.7	28.2	Antarctic	
30	Spectrogram 1	1	2019/2/4  11:56:57.5963	10617.596269022	10630.043471830	20.6	28.2	Antarctic	
1	Spectrogram 1	1	2019/2/4  9:10:36.2981	636.298119928	646.211161685	20.6	28.7	Antarctic	
3	Spectrogram 1	1	2019/2/4  9:15:44.7950	944.795017029	959.478244293	22.5	28.7	Antarctic	
21	Spectrogram 1	1	2019/2/4  10:28:53.9627	5333.962725634	5343.428562500	20.6	28.7	Antarctic	
24	Spectrogram 1	1	2019/2/4  10:56:09.5838	6970.583840761	6981.838497192	20.6	28.7	Antarctic	
29	Spectrogram 1	1	2019/2/4  11:10:37.1553	7837.155276178	7847.217386232	17.2	28.7	Antarctic	
31	Spectrogram 1	1	2019/2/4  12:30:49.6957	12649.695651359	12660.279500453	18.2	28.7	Antarctic	Match
33	Spectrogram 1	1	2019/2/4  12:38:47.9255	13127.925451268	13134.633524638	18.7	28.7	Antarctic	Match
11	Spectrogram 1	1	2019/2/4  9:44:48.5963	2688.596256522	2698.658366576	19.6	29.2	Antarctic	
22	Spectrogram 1	1	2019/2/4  10:46:08.3913	6369.391286051	6379.453396105	20.6	29.2	Antarctic	Match
4	Spectrogram 1	1	2019/2/4  9:32:45.0621	1966.062107971	1975.229808243	22.0	29.7	Antarctic	Match
5	Spectrogram 1	1	2019/2/4  9:33:09.8074	1990.807445290	1998.409928442	21.1	29.7	Antarctic	Match
12	Spectrogram 1	1	2019/2/4  9:45:57.7640	2757.763965127	2770.062099638	20.6	29.7	Antarctic	Match
15	Spectrogram 1	1	2019/2/4  10:01:51.2795	3711.279496286	3723.652164946	20.1	29.7	Antarctic	
16	Spectrogram 1	1	2019/2/4  10:03:28.6211	3808.621113043	3819.950303623	17.2	31.1	Antarctic	
7	Spectrogram 1	1	2019/2/4  9:33:45.8074	2026.807439040	2031.875761141	19.6	31.6	Antarctic	Match
32	Spectrogram 1	1	2019/2/4  12:37:27.2050	13047.204968388	13049.515526993	33.0	72.2	D	
28	Spectrogram 1	1	2019/2/4  11:10:04.9565	7804.956505254	7813.453398188	29.7	75.6	D	
38	Spectrogram 1	1	2019/2/4  12:54:39.2050	14079.204957971	14081.739119022	27.8	76.6	D	
13	Spectrogram 1	1	2019/2/4  10:00:21.6149	3621.614896830	3624.149057880	31.6	80.9	D	
37	Spectrogram 1	1	2019/2/4  12:52:58.9565	13978.956509420	13982.086943659	39.2	81.3	D	Match
34	Spectrogram 1	1	2019/2/4  12:38:58.5838	13138.583834511	13141.937871196	40.7	83.3	D	Match
35	Spectrogram 1	1	2019/2/4  12:45:39.2795	13539.279492120	13545.540360598	41.1	83.7	D	Match
39	Spectrogram 1	1	2019/2/4  12:55:14.6087	14114.608678533	14120.124205525	30.6	84.7	D	Match
20	Spectrogram 1	1	2019/2/4  10:10:28.4720	4228.472046830	4231.900617663	36.4	89.0	D	
40	Spectrogram 1	2	2019/2/4  13:12:57.9876	15177.987563406	15181.043463496	35.9	90.4	D	
14	Spectrogram 1	1	2019/2/4  10:00:35.4782	3635.478248460	3637.863341214	32.5	90.9	D	
36	Spectrogram 1	1	2019/2/4  12:46:35.6273	13595.627327174	13600.248444384	50.2	94.3	D	Match
41	Spectrogram 1	2	2019/2/4  13:13:00.6708	15180.670792754	15183.652158696	28.7	95.7	D	Match
18	Spectrogram 1	1	2019/2/4  10:06:57.3913	4017.391300634	4020.298132428	28.7	99.0	D	
