Selection	View	Channel	Begin Date Time	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Call Type	Match
1	Spectrogram 1	1	2019/2/3  6:40:54.7761	54.776109893	58.134318265	16.800	30.600	Antarctic	
3	Spectrogram 1	1	2019/2/3  6:41:37.9379	97.937871196	106.658366576	20.000	28.700	Antarctic	Match
4	Spectrogram 1	1	2019/2/3  6:42:57.0186	177.018621558	183.428558333	21.359	29.126	Antarctic	Match
5	Spectrogram 1	1	2019/2/3  6:43:52.7702	232.770183424	238.360244565	20.388	27.184	Antarctic	Match
6	Spectrogram 1	1	2019/2/3  6:44:09.9876	249.987571739	254.012415761	20.874	30.097	Antarctic	
7	Spectrogram 1	1	2019/2/3  6:46:34.1366	394.136633786	401.440980344	19.417	28.155	Antarctic	Match
8	Spectrogram 1	1	2019/2/3  6:47:44.6460	464.645957065	473.590054891	20.388	28.641	Antarctic	Match
9	Spectrogram 1	1	2019/2/3  6:47:14.3851	434.385092754	436.173912319	38.835	73.786	D	
10	Spectrogram 1	1	2019/2/3  6:47:42.3354	462.335398460	464.273286322	34.951	73.301	D	Match
11	Spectrogram 1	1	2019/2/3  6:47:21.7640	441.763973460	444.372668659	42.718	84.466	D	
12	Spectrogram 1	1	2019/2/3  6:47:30.0373	450.037263949	451.826083514	36.893	77.670	D	
13	Spectrogram 1	1	2019/2/3  6:47:35.6273	455.627325091	457.416144656	40.777	79.612	D	
14	Spectrogram 1	1	2019/2/3  6:47:54.8571	474.857135417	476.422352536	42.233	76.699	D	
15	Spectrogram 1	1	2019/2/3  6:48:02.7578	482.757755163	484.844711322	31.553	70.874	D	
16	Spectrogram 1	1	2019/2/3  6:48:11.7019	491.701852989	493.490672554	41.748	74.757	D	
17	Spectrogram 1	1	2019/2/3  6:50:25.7888	625.788804982	635.925449185	21.845	27.670	Antarctic	
18	Spectrogram 1	1	2019/2/3  6:51:34.7329	694.732911141	701.217382065	20.874	29.126	Antarctic	Match
19	Spectrogram 1	1	2019/2/3  6:52:18.9317	738.931661232	748.397498098	21.359	28.641	Antarctic	Match
20	Spectrogram 1	1	2019/2/3  6:52:38.7577	758.757744746	764.720476630	20.388	28.155	Antarctic	
21	Spectrogram 1	1	2019/2/3  6:53:41.0683	821.068311685	828.074521649	20.874	29.126	Antarctic	Match
22	Spectrogram 1	1	2019/2/3  6:53:59.0310	839.031041486	845.291909964	21.359	28.155	Antarctic	Match
23	Spectrogram 1	1	2019/2/3  6:56:45.3168	1005.316764402	1013.962725634	16.019	29.126	Antarctic	Match
24	Spectrogram 1	1	2019/2/3  6:56:23.0311	983.031053986	989.813661504	18.932	33.010	Antarctic	
25	Spectrogram 1	1	2019/2/3  6:57:57.5404	1077.540354348	1085.291905797	20.388	30.583	Antarctic	
26	Spectrogram 1	1	2019/2/3  6:54:46.7329	886.732915308	893.590056975	19.903	28.641	Antarctic	Match
27	Spectrogram 1	1	2019/2/3  6:54:57.0932	897.093161957	899.329186413	37.379	76.699	40Hz	Match
28	Spectrogram 1	1	2019/2/3  6:54:38.8323	878.832295562	881.068320018	37.864	76.214	40Hz	
29	Spectrogram 1	1	2019/2/3  6:54:47.1801	887.180120199	888.894405616	37.379	73.301	40Hz	
30	Spectrogram 1	1	2019/2/3  6:55:14.5342	914.534152717	916.621108877	45.631	77.670	40Hz	
31	Spectrogram 1	1	2019/2/3  6:55:30.8571	930.857131250	932.944087409	36.408	72.816	40Hz	
32	Spectrogram 1	1	2019/2/3  6:55:41.6646	941.664582790	950.832283062	16.019	30.583	Antarctic	Match
