Selection	View	Channel	Begin Date Time	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Call Type	Match
1	Spectrogram 1	1	2019/2/6  11:29:27.8944	1767.894407699	1770.354034601	42.1	85.8	D	Match
2	Spectrogram 1	1	2019/2/6  11:33:17.2360	1997.236020290	2007.074527899	14.7	29.5	Antarctic	
3	Spectrogram 1	1	2019/2/6  11:40:43.0994	2443.099371920	2453.608686866	21.6	27.9	Antarctic	Match
4	Spectrogram 1	1	2019/2/6  11:44:46.5279	2686.527938587	2692.416136322	20.5	30.0	Antarctic	
5	Spectrogram 1	1	2019/2/6  12:07:16.9068	4037.906829710	4039.993785870	42.6	87.9	D	
6	Spectrogram 1	1	2019/2/6  12:15:41.7453	4542.745339402	4551.689437228	20.5	28.4	Antarctic	Match
7	Spectrogram 1	1	2019/2/6  12:22:17.4037	4937.403712228	4948.136629620	20.0	28.9	Antarctic	Match
8	Spectrogram 1	1	2019/2/6  12:29:36.1118	5376.111785598	5383.267063859	14.7	29.5	Antarctic	Match
9	Spectrogram 1	1	2019/2/6  12:31:39.4658	5499.465820199	5506.397496014	17.4	29.5	Antarctic	Match
10	Spectrogram 1	1	2019/2/6  12:30:22.3230	5422.322976449	5423.739125272	10.5	32.6	20Hz	
11	Spectrogram 1	1	2019/2/6  12:30:55.4161	5455.416138406	5456.832287228	12.1	32.6	20Hz	
12	Spectrogram 1	1	2019/2/6  12:33:54.2981	5634.298132428	5643.316764402	19.5	28.9	Antarctic	Match
13	Spectrogram 1	1	2019/2/6  12:58:53.0311	7133.031053986	7136.012419928	27.4	90.0	D	Match
14	Spectrogram 1	1	2019/2/6  13:01:41.7019	7301.701850906	7311.242221920	21.1	28.9	Antarctic	Match
15	Spectrogram 1	1	2019/2/6  13:00:59.2174	7259.217386232	7264.062105888	40.5	80.5	D	Match
16	Spectrogram 1	1	2019/2/6  13:03:08.9068	7388.906823460	7397.776387138	20.0	27.9	Antarctic	Match
17	Spectrogram 1	1	2019/2/6  13:04:14.2733	7454.273290489	7465.229810326	20.0	29.5	Antarctic	Match
18	Spectrogram 1	1	2019/2/6  13:16:15.4658	8175.465824366	8184.037251449	19.5	29.5	Antarctic	Match
19	Spectrogram 1	1	2019/2/6  13:17:21.7267	8241.726701178	8251.490674638	20.5	28.9	Antarctic	
20	Spectrogram 1	2	2019/2/6  13:28:03.2857	8884.285708333	8887.341608424	16.3	36.3	D	Match
21	Spectrogram 1	2	2019/2/6  13:27:55.3106	8876.310554438	8879.440988678	18.4	36.3	D	
22	Spectrogram 1	2	2019/2/6  13:30:11.1863	9012.186325996	9019.341604257	19.5	30.0	Antarctic	Match
