Selection	View	Channel	Begin Date Time	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Call Type	Match
1	Spectrogram 1	1	2019/2/4  17:53:57.4472	837.447202808	853.695647192	19.9	28.7	Antarctic	Match
2	Spectrogram 1	1	2019/2/4  17:55:16.3789	916.378866123	918.316753986	39.4	92.6	D	Match
3	Spectrogram 1	1	2019/2/4  17:57:13.3975	1033.397498098	1036.080727446	65.7	97.7	D	Match
4	Spectrogram 1	1	2019/2/4  17:57:05.1242	1025.124207609	1030.267063859	54.2	95.8	D	Match
5	Spectrogram 1	1	2019/2/4  17:56:59.3105	1019.310544022	1022.962717301	36.1	80.6	D	Match
6	Spectrogram 1	1	2019/2/4  17:56:25.6956	985.695643025	994.118001812	20.4	28.2	Antarctic	Match
7	Spectrogram 1	1	2019/2/4  17:57:28.5279	1048.527949004	1063.136642120	20.8	28.7	Antarctic	Match
8	Spectrogram 1	1	2019/2/4  17:57:51.8571	1071.857137500	1075.881981522	65.7	94.0	D	
9	Spectrogram 1	1	2019/2/4  17:58:26.5901	1106.590050725	1112.254646014	18.1	29.6	Antarctic	Match
10	Spectrogram 1	1	2019/2/4  17:58:38.1428	1118.142843750	1133.795014946	19.0	29.6	Antarctic	Match
11	Spectrogram 1	1	2019/2/4  17:58:48.3540	1128.354022101	1135.881971105	30.1	84.3	D	Match
12	Spectrogram 1	1	2019/2/4  17:59:48.0559	1188.055893841	1199.161481975	19.4	29.6	Antarctic	Match
13	Spectrogram 1	1	2019/2/4  18:02:04.0807	1324.080733696	1328.776385054	54.6	98.6	D	Match
14	Spectrogram 1	1	2019/2/4  18:02:13.0248	1333.024831522	1336.826073098	57.4	93.1	D	Match
15	Spectrogram 1	1	2019/2/4  18:03:44.2546	1424.254648098	1429.472038496	20.4	35.2	Antarctic	
16	Spectrogram 1	1	2019/2/4  18:03:51.5590	1431.558994656	1438.117999728	18.1	30.6	Antarctic	
17	Spectrogram 1	1	2019/2/4  18:04:29.9441	1469.944081159	1474.788800815	56.0	91.7	D	Match
18	Spectrogram 1	1	2019/2/4  18:04:48.8758	1488.875773641	1495.211176268	40.3	86.6	D	Match
19	Spectrogram 1	1	2019/2/4  18:04:52.3789	1492.378878623	1507.881981522	18.1	29.6	Antarctic	Match
20	Spectrogram 1	1	2019/2/4  18:05:56.9255	1556.925451268	1560.950295290	56.9	95.4	D	Match
21	Spectrogram 1	1	2019/2/4  18:06:04.3043	1564.304331975	1575.037249366	18.1	29.2	Antarctic	Match
22	Spectrogram 1	1	2019/2/4  18:06:42.3168	1602.316766486	1607.459622736	16.2	29.2	Antarctic	Match
23	Spectrogram 1	1	2019/2/4  18:06:32.4783	1592.478258877	1596.503102899	31.9	88.9	D	Match
24	Spectrogram 1	1	2019/2/4  18:06:37.0994	1597.099376087	1601.049685960	35.2	90.3	D	Match
25	Spectrogram 1	1	2019/2/4  18:09:53.2733	1793.273273822	1798.490664221	20.8	27.8	Antarctic	
26	Spectrogram 1	1	2019/2/4  18:11:00.6522	1860.652162862	1867.211167935	21.3	29.6	Antarctic	
27	Spectrogram 1	1	2019/2/4  18:11:58.1180	1918.118010145	1931.385088587	19.0	34.7	Antarctic	
28	Spectrogram 1	1	2019/2/4  18:12:32.4783	1952.478252627	1958.366450362	19.0	29.2	Antarctic	Match
29	Spectrogram 1	1	2019/2/4  18:12:07.2857	1927.285710417	1932.354032518	33.8	73.1	D	
30	Spectrogram 1	1	2019/2/4  18:13:17.7950	1997.795014946	2008.975137228	20.4	30.1	Antarctic	Match
31	Spectrogram 1	1	2019/2/4  18:13:41.9441	2021.944097826	2029.322978533	18.1	29.6	Antarctic	Match
32	Spectrogram 1	1	2019/2/4  18:14:05.2733	2045.273286322	2060.329184330	20.4	31.5	Antarctic	Match
33	Spectrogram 1	1	2019/2/4  18:13:42.3168	2022.316768569	2025.149066214	59.7	92.6	D	Match
34	Spectrogram 1	1	2019/2/4  18:14:00.5031	2040.503100815	2044.602478986	60.6	96.8	D	Match
35	Spectrogram 1	1	2019/2/4  18:14:05.1242	2045.124218025	2050.118005978	57.4	97.7	D	Match
36	Spectrogram 1	1	2019/2/4  18:15:49.5466	2149.546578895	2153.571422917	49.1	84.3	D	
37	Spectrogram 1	1	2019/2/4  18:15:51.3354	2151.335398460	2158.565210870	19.0	29.2	Antarctic	Match
38	Spectrogram 1	1	2019/2/4  18:16:03.4845	2163.484464674	2170.341606341	21.8	28.7	Antarctic	Match
39	Spectrogram 1	1	2019/2/4  18:16:17.1987	2177.198748007	2185.099367754	21.3	29.6	Antarctic	
40	Spectrogram 1	1	2019/2/4  18:16:36.3540	2196.354024185	2206.416134239	20.4	30.1	Antarctic	Match
41	Spectrogram 1	1	2019/2/4  18:17:27.8571	2247.857139583	2255.534156884	34.7	94.9	D	Match
42	Spectrogram 1	1	2019/2/4  18:17:34.7143	2254.714281250	2259.857137500	51.9	90.7	D	Match
43	Spectrogram 1	1	2019/2/4  18:18:28.1553	2308.155265761	2310.540358514	41.2	88.9	D	Match
44	Spectrogram 1	1	2019/2/4  18:18:59.9813	2339.981347192	2344.378861957	54.6	86.1	D	Match
45	Spectrogram 1	1	2019/2/4  18:17:37.9192	2257.919249638	2261.347820471	51.9	88.9	D	
46	Spectrogram 1	1	2019/2/4  18:17:41.1988	2261.198752174	2265.745335236	33.3	86.1	D	
47	Spectrogram 1	1	2019/2/4  18:17:55.5093	2275.509308696	2277.968935598	32.9	99.1	D	Match
48	Spectrogram 1	1	2019/2/4  18:17:57.1491	2277.149059964	2279.385084420	44.0	97.2	D	Match
49	Spectrogram 1	1	2019/2/4  18:18:01.1739	2281.173903986	2283.409928442	27.3	92.6	D	Match
50	Spectrogram 1	1	2019/2/4  18:18:02.6646	2282.664586957	2284.602474819	27.3	80.1	D	Match
51	Spectrogram 1	1	2019/2/4  18:21:51.7081	2511.708062953	2527.285700000	21.3	29.2	Antarctic	Match
52	Spectrogram 1	1	2019/2/4  18:22:17.3478	2537.347810054	2540.776380888	66.2	97.2	D	Match
53	Spectrogram 1	1	2019/2/4  18:22:36.9503	2556.950309873	2570.590059058	20.8	27.8	Antarctic	
54	Spectrogram 1	1	2019/2/4  18:23:18.6149	2598.614898913	2613.670796920	19.4	29.6	Antarctic	Match
55	Spectrogram 1	1	2019/2/4  18:23:27.7081	2607.708065036	2610.316760236	57.4	94.0	D	
56	Spectrogram 1	1	2019/2/4  18:23:51.8571	2631.857129167	2648.329175996	20.8	29.2	Antarctic	Match
57	Spectrogram 1	1	2019/2/4  18:24:20.4037	2660.403708062	2663.832278895	34.3	67.6	D	Match
58	Spectrogram 1	1	2019/2/4  18:24:45.3726	2685.372643931	2693.198729529	19.4	29.6	Antarctic	Match
59	Spectrogram 1	1	2019/2/4  18:26:32.9254	2792.925439040	2794.043451268	37.5	63.9	40Hz	Match
60	Spectrogram 1	1	2019/2/4  18:28:15.7826	2895.782582790	2900.552768297	20.8	29.2	Antarctic	
61	Spectrogram 1	1	2019/2/4  18:28:22.4907	2902.490656159	2908.676990489	19.4	29.6	Antarctic	
62	Spectrogram 1	1	2019/2/4  18:28:51.6335	2931.633526993	2939.012407699	19.0	30.6	Antarctic	
