Selection	View	Channel	Begin Date Time	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Call Type	Match
51	Spectrogram 1	1	2019/2/3  3:45:32.2795	6333.279512862	6336.931686141	47.900	75.000	D	Match
52	Spectrogram 1	1	2019/2/3  3:49:17.8199	6558.819883877	6564.111808424	21.200	27.900	Antarctic	Match
53	Spectrogram 1	1	2019/2/3  3:49:25.1988	6566.198764583	6572.385098913	21.700	27.100	Antarctic	Match
54	Spectrogram 1	1	2019/2/3  3:52:39.0621	6760.062122464	6766.695661685	20.000	29.200	Antarctic	
55	Spectrogram 1	1	2019/2/3  3:49:02.8012	6543.801248279	6546.782614221	30.400	73.300	D	Match
56	Spectrogram 1	1	2019/2/3  3:53:47.1118	6828.111787681	6830.422346286	30.400	90.800	D	
57	Spectrogram 1	1	2019/2/3  3:55:05.8199	6906.819867301	6915.465828533	16.700	27.900	Antarctic	Match
58	Spectrogram 1	1	2019/2/3  3:56:41.8944	7002.894403533	7005.950303623	30.400	69.200	D	Match
59	Spectrogram 1	1	2019/2/3  4:05:19.2298	7519.229801540	7521.093155254	44.600	66.200	D	
60	Spectrogram 1	1	2019/2/3  4:05:33.7640	7533.763960507	7542.037250996	22.500	27.500	Antarctic	Match
61	Spectrogram 1	1	2019/2/3  4:05:55.0807	7555.080726993	7557.093149004	41.200	79.600	D	Match
62	Spectrogram 1	1	2019/2/3  4:06:00.3727	7560.372651540	7562.385073551	52.100	97.100	D	
63	Spectrogram 1	1	2019/2/3  4:05:57.3168	7557.316751449	7559.701844203	39.200	72.900	D	Match
94	Spectrogram 1	1	2019/2/3  4:44:15.1863	9855.186344293	9865.472056793	18.800	27.900	Antarctic	Match
95	Spectrogram 1	1	2019/2/3  4:45:03.8571	9903.857143297	9906.763975091	54.600	83.800	D	Match
96	Spectrogram 1	1	2019/2/3  4:45:10.2671	9910.267080072	9913.621116757	55.900	86.500	D	Match
98	Spectrogram 1	1	2019/2/3  4:45:35.1615	9935.161485688	9941.198751721	21.800	30.100	Antarctic	Match
99	Spectrogram 1	1	2019/2/3  4:46:00.5776	9960.577649094	9964.527958967	20.270	28.378	Antarctic	Match
100	Spectrogram 1	1	2019/2/3  4:49:03.5590	10143.559002536	10154.068317482	21.622	27.477	Antarctic	Match
101	Spectrogram 1	1	2019/2/3  4:50:09.2236	10209.223606159	10217.347828351	21.171	27.027	Antarctic	Match
102	Spectrogram 1	1	2019/2/3  4:50:47.9068	10247.906829257	10250.739126902	48.649	85.586	D	
103	Spectrogram 1	1	2019/2/3  4:51:18.3168	10278.316780616	10288.006219928	20.270	27.928	Antarctic	Match
104	Spectrogram 1	1	2019/2/3  4:53:26.2919	10406.291932428	10414.788825362	22.523	27.027	Antarctic	Match
105	Spectrogram 1	1	2019/2/3  4:54:06.9130	10446.913043388	10457.795029076	18.919	28.378	Antarctic	Match
106	Spectrogram 1	1	2019/2/3  4:54:26.7391	10466.739126902	10472.403722192	20.721	29.279	Antarctic	Match
107	Spectrogram 1	1	2019/2/3  4:54:45.3727	10485.372664040	10497.521730254	17.568	30.180	Antarctic	Match
108	Spectrogram 1	1	2019/2/3  4:54:55.6956	10495.695644384	10497.782600543	39.189	90.991	D	Match
109	Spectrogram 1	1	2019/2/3  4:54:57.5590	10497.558998098	10499.571420109	34.234	76.577	D	Match
110	Spectrogram 1	1	2019/2/3  4:55:17.5341	10517.534149909	10520.590050000	35.135	75.676	D	
111	Spectrogram 1	1	2019/2/3  4:55:22.6025	10522.602472011	10526.552781884	26.577	75.225	D	
112	Spectrogram 1	1	2019/2/3  4:55:00.9130	10500.913034783	10505.161481250	19.820	30.180	Antarctic	Match
113	Spectrogram 1	1	2019/2/3  4:55:12.7640	10512.763964402	10516.565205978	20.270	27.928	Antarctic	
114	Spectrogram 1	1	2019/2/3  4:55:42.2795	10542.279487228	10546.453399547	18.919	27.928	Antarctic	
