Selection	View	Channel	Begin Date Time	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Call Type	Match
88	Spectrogram 1	3	2019/2/4  3:41:00.8882	8741.888178986	8743.304327808	11.7	34.0	20Hz	
44	Spectrogram 1	3	2019/2/4  2:06:20.7143	3061.714279167	3071.925457518	14.1	29.6	Antarctic	Match
106	Spectrogram 1	3	2019/2/4  3:55:51.6460	9632.645957065	9647.999991667	14.1	29.1	Antarctic	Match
108	Spectrogram 1	3	2019/2/4  3:59:36.3354	9858.335396377	9879.279492120	14.1	28.2	Antarctic	Match
87	Spectrogram 1	3	2019/2/4  3:40:55.3416	8737.341595924	8738.906813043	14.6	28.2	20Hz	
107	Spectrogram 1	3	2019/2/4  3:58:25.3043	9787.304334058	9808.844702989	14.6	29.1	Antarctic	Match
116	Spectrogram 1	3	2019/2/4  4:13:29.7019	10691.701861322	10697.217388315	14.6	28.6	Antarctic	Match
117	Spectrogram 1	3	2019/2/4  4:13:40.5838	10702.583847011	10712.347820471	14.6	27.7	Antarctic	Match
63	Spectrogram 1	3	2019/2/4  2:28:15.7205	4376.720484964	4380.894397283	15.0	31.1	Antarctic	Match
58	Spectrogram 1	3	2019/2/4  2:21:31.4161	3973.416132156	3985.341595924	15.5	29.1	Antarctic	Match
118	Spectrogram 1	3	2019/2/4  4:13:54.3416	10717.341608424	10725.391296467	15.5	28.2	Antarctic	Match
84	Spectrogram 1	3	2019/2/4  3:19:54.1491	7476.149062047	7482.335396377	16.0	28.6	Antarctic	Match
89	Spectrogram 1	3	2019/2/4  3:41:02.1242	8744.124203442	8745.540352264	16.5	36.9	20Hz	
45	Spectrogram 1	3	2019/2/4  2:07:19.3416	3121.341614674	3130.285712500	17.0	30.6	Antarctic	Match
23	Spectrogram 1	3	2019/2/4  1:43:03.7950	1664.795023279	1672.248438134	17.5	28.6	Antarctic	Match
60	Spectrogram 1	3	2019/2/4  2:25:15.8695	4196.869547011	4204.695632609	17.5	30.1	Antarctic	Match
42	Spectrogram 1	3	2019/2/4  2:03:28.5093	2890.509302446	2895.875761141	18.4	29.6	Antarctic	
111	Spectrogram 1	3	2019/2/4  4:10:05.5217	10488.521734873	10499.478254710	18.4	31.1	Antarctic	Match
115	Spectrogram 1	3	2019/2/4  4:13:15.2857	10678.285695833	10685.590042391	18.4	30.1	Antarctic	Match
69	Spectrogram 1	3	2019/2/4  2:39:01.3043	5023.304336141	5029.565204620	18.9	30.1	Antarctic	Match
81	Spectrogram 1	3	2019/2/4  3:07:16.7640	6717.763969293	6727.378874457	18.9	30.1	Antarctic	Match
26	Spectrogram 1	3	2019/2/4  1:45:11.1428	1793.142845833	1800.074521649	19.4	30.1	Antarctic	Match
35	Spectrogram 1	3	2019/2/4  1:55:36.4099	2418.409930525	2429.962723551	19.4	29.1	Antarctic	Match
40	Spectrogram 1	3	2019/2/4  2:02:28.6894	2829.689437228	2839.229808243	19.4	28.6	Antarctic	Match
54	Spectrogram 1	3	2019/2/4  2:13:15.5714	3476.571422917	3487.229806159	19.4	30.6	Antarctic	Match
61	Spectrogram 1	3	2019/2/4  2:25:55.2671	4237.267074275	4244.124215942	19.4	28.6	Antarctic	
66	Spectrogram 1	3	2019/2/4  2:36:17.4037	4859.403724728	4868.571425000	19.4	32.0	Antarctic	Match
75	Spectrogram 1	3	2019/2/4  2:50:50.7205	5732.720493297	5738.459622736	19.4	30.1	Antarctic	Match
12	Spectrogram 1	3	2019/2/4  1:25:48.7826	630.782592935	638.385076087	19.9	28.2	Antarctic	Match
19	Spectrogram 1	3	2019/2/4  1:33:44.6832	1106.683225181	1114.732913225	19.9	28.6	Antarctic	Match
34	Spectrogram 1	3	2019/2/4  1:52:45.6087	2246.608680616	2251.826071014	19.9	29.6	Antarctic	
38	Spectrogram 1	3	2019/2/4  2:01:05.1056	2747.105581884	2754.558996739	19.9	29.1	Antarctic	Match
97	Spectrogram 1	3	2019/2/4  3:48:44.8633	9205.863347464	9214.732911141	19.9	28.6	Antarctic	Match
99	Spectrogram 1	3	2019/2/4  3:50:13.6335	9294.633537138	9304.546578895	19.9	30.6	Antarctic	
113	Spectrogram 1	3	2019/2/4  4:12:21.1739	10624.173903986	10632.372660326	19.9	28.6	Antarctic	Match
124	Spectrogram 1	2	2019/2/4  4:29:29.2919	11651.291905797	11656.807432790	19.9	31.1	Antarctic	
146	Spectrogram 1	2	2019/2/4  4:35:32.2174	12014.217376902	12018.838494112	19.9	27.7	Antarctic	
39	Spectrogram 1	3	2019/2/4  2:01:17.2546	2759.254648098	2767.453404438	20.4	30.1	Antarctic	Match
50	Spectrogram 1	3	2019/2/4  2:09:08.7888	3229.788800815	3235.229793659	20.4	30.1	Antarctic	
64	Spectrogram 1	3	2019/2/4  2:28:23.3664	4385.366446196	4391.031041486	20.4	80.6	D	Match
83	Spectrogram 1	3	2019/2/4  3:16:37.1553	7279.155269928	7286.981355525	20.4	28.2	Antarctic	Match
98	Spectrogram 1	3	2019/2/4  3:49:09.9068	9230.906821377	9240.894397283	20.4	31.1	Antarctic	
100	Spectrogram 1	3	2019/2/4  3:50:45.2795	9327.279494203	9334.881977355	20.4	28.2	Antarctic	Match
104	Spectrogram 1	3	2019/2/4  3:54:21.5031	9543.503096649	9549.391294384	20.4	28.6	Antarctic	
