Selection	View	Channel	Begin Date Time	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Call Type	Match
1	Spectrogram 1	3	2019/2/5  0:22:20.8696	140.869559511	142.062105888	22.300	43.600	20Hz	
2	Spectrogram 1	3	2019/2/5  0:22:23.8509	143.850925453	155.627320924	18.500	28.900	Antarctic	Match
3	Spectrogram 1	3	2019/2/5  0:23:29.9627	209.962715217	214.434764130	47.400	87.700	D	
4	Spectrogram 1	3	2019/2/5  0:23:33.6894	213.689422645	224.198737591	18.500	29.400	Antarctic	Match
5	Spectrogram 1	3	2019/2/5  0:23:42.6335	222.633520471	226.956501087	56.900	89.100	D	
6	Spectrogram 1	3	2019/2/5  0:24:43.0062	283.006199547	295.751538949	20.900	28.000	Antarctic	Match
7	Spectrogram 1	3	2019/2/5  0:25:53.7391	353.739125272	365.440986594	19.400	28.000	Antarctic	Match
8	Spectrogram 1	3	2019/2/5  0:29:43.7515	583.751545199	587.850923370	33.600	65.400	D	
9	Spectrogram 1	3	2019/2/5  0:29:53.4410	593.440984511	607.229801993	20.400	31.300	Antarctic	Match
10	Spectrogram 1	3	2019/2/5  0:31:03.9503	663.950307790	675.130430072	19.400	28.900	Antarctic	Match
11	Spectrogram 1	3	2019/2/5  0:30:55.7516	655.751551449	657.093166123	53.100	78.700	D	
12	Spectrogram 1	3	2019/2/5  0:31:00.8944	660.894407699	663.130432156	50.200	74.400	D	
13	Spectrogram 1	3	2019/2/5  0:32:14.6832	734.683214764	745.267063859	19.900	29.900	Antarctic	Match
14	Spectrogram 1	3	2019/2/5  0:31:57.2422	717.242224004	719.925453351	36.000	99.500	D	
15	Spectrogram 1	3	2019/2/5  0:32:16.1739	736.173897736	739.080729529	46.900	64.500	D	Match
16	Spectrogram 1	3	2019/2/5  0:32:24.5963	744.596256522	747.130417572	37.900	81.000	D	Match
17	Spectrogram 1	3	2019/2/5  0:32:30.1863	750.186317663	752.571410417	39.800	94.300	D	Match
18	Spectrogram 1	3	2019/2/5  0:32:35.9254	755.925447101	759.204949638	35.100	87.200	D	Match
19	Spectrogram 1	3	2019/2/5  0:32:46.2857	766.285712500	768.447202808	38.900	81.000	D	
20	Spectrogram 1	3	2019/2/5  0:33:06.7081	786.708069203	790.732913225	39.800	76.800	D	
21	Spectrogram 1	3	2019/2/5  0:33:27.0559	807.055891757	817.565206703	19.000	28.900	Antarctic	Match
22	Spectrogram 1	3	2019/2/5  0:34:37.8634	877.863351630	888.149064130	19.400	29.400	Antarctic	Match
23	Spectrogram 1	3	2019/2/5  0:42:34.9565	1354.956511504	1364.869553261	19.900	29.900	Antarctic	Match
24	Spectrogram 1	3	2019/2/5  0:43:45.8385	1425.838505525	1436.124218025	18.500	29.900	Antarctic	
25	Spectrogram 1	3	2019/2/5  0:44:56.6459	1496.645946649	1506.931659149	20.900	30.300	Antarctic	
26	Spectrogram 1	3	2019/2/5  0:47:19.6770	1639.677015217	1640.795027446	40.300	64.500	40Hz	
27	Spectrogram 1	3	2019/2/5  0:48:17.8882	1697.888185236	1698.857129167	36.500	65.400	40Hz	
28	Spectrogram 1	3	2019/2/5  0:48:42.7081	1722.708056703	1725.614888496	67.300	97.600	D	
29	Spectrogram 1	3	2019/2/5  0:49:07.8261	1747.826083514	1749.987573822	46.900	83.900	D	
30	Spectrogram 1	3	2019/2/5  0:49:13.2671	1753.267076359	1755.577634964	27.000	65.900	D	
31	Spectrogram 1	3	2019/2/5  0:49:14.8323	1754.832293478	1759.900615580	30.800	89.100	D	
32	Spectrogram 1	3	2019/2/5  0:49:44.9441	1784.944089493	1788.894399366	18.500	68.700	D	
33	Spectrogram 1	3	2019/2/5  0:50:49.4907	1849.490680888	1860.894405616	18.000	29.400	Antarctic	
