Selection	View	Channel	Begin Date Time	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Call Type	Match
1	Spectrogram 1	1	2019/2/6  6:42:35.9254	156.925449185	168.329173913	19.3	28.2	Antarctic	
2	Spectrogram 1	1	2019/2/6  6:43:12.7453	193.745337319	202.093161957	20.8	28.7	Antarctic	
3	Spectrogram 1	1	2019/2/6  6:44:48.5217	289.521736957	296.080742029	20.8	28.2	Antarctic	
4	Spectrogram 1	1	2019/2/6  6:48:26.7578	507.757761413	517.819871467	18.3	29.7	Antarctic	Match
5	Spectrogram 1	1	2019/2/6  6:49:33.9130	574.913029257	586.018617391	19.3	27.2	Antarctic	Match
6	Spectrogram 1	1	2019/2/6  6:50:42.3354	643.335396377	655.186325996	20.3	27.7	Antarctic	Match
7	Spectrogram 1	1	2019/2/6  6:51:48.8944	709.894409783	726.739127355	17.8	29.7	Antarctic	Match
8	Spectrogram 1	1	2019/2/6  6:52:59.8509	780.850919203	783.459614402	29.7	81.2	D	
9	Spectrogram 1	1	2019/2/6  7:00:01.9689	1201.968933514	1209.720484964	18.8	28.7	Antarctic	Match
10	Spectrogram 1	1	2019/2/6  7:01:02.5652	1262.565215036	1270.093164040	20.8	28.2	Antarctic	
11	Spectrogram 1	1	2019/2/6  7:02:07.8571	1327.857129167	1335.086941576	18.3	29.2	Antarctic	Match
12	Spectrogram 1	1	2019/2/6  7:02:56.1553	1376.155276178	1389.720491214	18.3	28.2	Antarctic	Match
13	Spectrogram 1	1	2019/2/6  7:04:06.7391	1446.739114855	1461.496876268	19.8	29.2	Antarctic	Match
14	Spectrogram 1	1	2019/2/6  7:05:20.4534	1520.453406522	1530.440982428	17.8	29.2	Antarctic	Match
15	Spectrogram 1	1	2019/2/6  7:08:31.7081	1711.708069203	1714.391298551	38.6	90.1	D	Match
16	Spectrogram 1	2	2019/2/6  7:26:38.7888	2798.788813315	2811.236016123	15.8	28.7	Antarctic	Match
17	Spectrogram 1	2	2019/2/6  7:27:23.4348	2843.434768297	2851.409922192	21.3	29.2	Antarctic	
18	Spectrogram 1	2	2019/2/6  7:28:36.2547	2916.254650181	2924.229804076	20.8	27.7	Antarctic	
19	Spectrogram 1	2	2019/2/6  7:29:19.4845	2959.484456341	2965.074517482	20.3	28.7	Antarctic	
20	Spectrogram 1	2	2019/2/6  7:30:23.4348	3023.434774547	3028.428562500	20.3	29.2	Antarctic	
21	Spectrogram 1	2	2019/2/6  7:59:40.1304	4780.130421739	4790.639736685	20.3	28.7	Antarctic	Match
22	Spectrogram 1	2	2019/2/6  8:01:57.7640	4918.763956793	4925.919235054	20.8	27.7	Antarctic	
23	Spectrogram 1	2	2019/2/6  8:16:09.9876	5770.987561322	5774.341598007	38.1	80.2	D	
24	Spectrogram 1	1	2019/2/6  8:45:05.2484	7505.248429801	7508.378864040	46.0	87.6	D	
25	Spectrogram 1	1	2019/2/6  8:46:47.5093	7607.509300362	7609.372654076	50.5	86.1	D	Match
26	Spectrogram 1	1	2019/2/6  8:53:02.0435	7982.043471830	7990.838501359	18.8	29.7	Antarctic	
27	Spectrogram 1	1	2019/2/6  9:05:22.9130	8722.913039674	8725.149064130	47.5	86.1	D	Match
28	Spectrogram 1	1	2019/2/6  9:11:04.8758	9064.875769475	9067.409930525	35.6	98.5	D	
29	Spectrogram 1	1	2019/2/6  9:12:00.0310	9120.031039402	9122.416132156	55.4	91.1	D	Match
30	Spectrogram 1	1	2019/2/6  9:17:26.4161	9446.416132156	9450.068305435	35.6	95.5	D	Match
31	Spectrogram 1	1	2019/2/6  9:17:31.7081	9451.708056703	9459.906813043	18.8	30.7	Antarctic	Match
32	Spectrogram 1	1	2019/2/6  9:21:59.5714	9720.571414583	9723.254643931	53.5	89.1	D	
33	Spectrogram 1	1	2019/2/6  9:22:05.8323	9726.832283062	9728.472034330	59.4	99.0	D	Match
34	Spectrogram 1	1	2019/2/6  9:22:08.3664	9729.366444112	9731.229797826	54.0	95.0	D	Match
35	Spectrogram 1	1	2019/2/6  9:22:38.4037	9759.403724728	9761.118010145	55.0	94.1	D	Match
36	Spectrogram 1	1	2019/2/6  9:27:17.9814	10038.981353442	10048.447190308	18.8	30.7	Antarctic	
37	Spectrogram 1	1	2019/2/6  9:28:28.3416	10109.341608424	10119.031047736	18.8	29.2	Antarctic	Match
38	Spectrogram 1	1	2019/2/6  9:36:20.5155	10581.515514493	10584.571414583	49.0	84.7	D	
39	Spectrogram 1	1	2019/2/6  9:39:13.9565	10754.956515670	10763.378874457	20.8	28.2	Antarctic	
40	Spectrogram 1	1	2019/2/6  9:40:44.6211	10844.621115127	10847.006207880	42.1	78.7	D	Match
41	Spectrogram 1	1	2019/2/6  9:43:28.5963	11008.596260688	11011.875763225	48.5	91.1	D	
42	Spectrogram 1	1	2019/2/6  9:42:49.3168	10969.316766486	10977.068317935	19.3	28.2	Antarctic	
43	Spectrogram 1	1	2019/2/6  9:45:58.9317	11158.931675815	11168.248444384	21.8	29.7	Antarctic	
44	Spectrogram 1	1	2019/2/6  9:47:05.8633	11225.863341214	11233.689426812	21.3	29.2	Antarctic	Match
45	Spectrogram 1	1	2019/2/6  9:50:46.2609	11446.260855978	11453.863339130	19.8	29.2	Antarctic	
46	Spectrogram 1	1	2019/2/6  9:52:50.3602	11570.360232065	11572.894393116	38.6	95.0	D	Match
47	Spectrogram 1	1	2019/2/6  9:52:39.2546	11559.254643931	11560.819861051	65.8	97.5	D	Match
48	Spectrogram 1	1	2019/2/6  9:52:34.5590	11554.558992572	11556.198743841	56.4	98.0	D	
49	Spectrogram 1	1	2019/2/6  9:52:53.6397	11573.639734601	11575.428554167	37.6	77.7	D	Match
50	Spectrogram 1	1	2019/2/6  9:53:06.6087	11586.608695199	11588.248446467	64.4	95.0	D	Match
51	Spectrogram 1	1	2019/2/6  9:54:06.9814	11646.981355525	11651.453404438	51.5	84.2	D	Match
52	Spectrogram 1	1	2019/2/6  9:54:00.7950	11640.795021196	11643.180113949	62.4	96.0	D	Match
53	Spectrogram 1	1	2019/2/6  9:53:51.0000	11631.999991667	11636.024835688	58.4	92.6	D	Match
54	Spectrogram 1	1	2019/2/6  9:53:34.9317	11614.931671649	11618.807447373	61.4	94.6	D	Match
55	Spectrogram 1	1	2019/2/6  9:53:27.2547	11607.254654348	11609.714281250	58.9	80.2	D	Match
56	Spectrogram 1	1	2019/2/6  9:57:17.8633	11837.863347464	11845.465830616	18.8	28.2	Antarctic	Match
57	Spectrogram 1	1	2019/2/6  9:59:08.4720	11948.472042663	11960.099369837	18.8	28.2	Antarctic	
58	Spectrogram 1	1	2019/2/6  10:01:18.7578	12078.757753080	12084.720484964	19.3	29.7	Antarctic	
59	Spectrogram 1	1	2019/2/6  10:03:42.0124	12222.012405344	12224.248429801	33.7	63.9	D	Match
60	Spectrogram 1	1	2019/2/6  10:03:49.2422	12229.242217754	12231.552776359	27.7	63.4	D	Match
61	Spectrogram 1	1	2019/2/6  10:03:55.1304	12235.130415489	12238.111781431	23.8	71.8	D	Match
62	Spectrogram 1	1	2019/2/6  10:05:35.0807	12335.080727446	12337.614888496	43.6	95.5	D	Match
63	Spectrogram 1	1	2019/2/6  10:05:34.6335	12334.633522554	12343.726688678	18.8	35.6	Antarctic	Match
64	Spectrogram 1	1	2019/2/6  10:08:39.4037	12519.403714312	12528.347812138	20.3	30.2	Antarctic	Match
65	Spectrogram 1	1	2019/2/6  10:17:36.1987	13056.198745924	13062.906819293	20.3	28.2	Antarctic	Match
66	Spectrogram 1	1	2019/2/6  10:19:42.6087	13182.608680616	13188.049673460	45.5	80.2	D	Match
67	Spectrogram 1	1	2019/2/6  10:22:27.4783	13347.478254710	13349.118005978	47.5	85.6	D	Match
68	Spectrogram 1	1	2019/2/6  10:24:30.9814	13470.981357609	13474.931667482	42.6	95.5	D	Match
69	Spectrogram 1	1	2019/2/6  10:31:35.2298	13895.229806159	13904.024835688	20.3	28.7	Antarctic	
70	Spectrogram 1	1	2019/2/6  10:32:36.7205	13956.720478714	13965.291905797	19.3	29.2	Antarctic	
71	Spectrogram 1	1	2019/2/6  10:33:32.8447	14012.844711322	14019.403716395	21.3	29.2	Antarctic	Match
72	Spectrogram 1	1	2019/2/6  10:36:08.5466	14168.546566395	14170.484454257	29.2	86.6	D	
73	Spectrogram 1	1	2019/2/6  10:49:18.2050	14959.204964221	14967.701857156	17.8	30.7	Antarctic	
74	Spectrogram 1	1	2019/2/6  10:50:03.1491	15004.149055797	15006.534148551	49.5	82.7	D	
75	Spectrogram 1	1	2019/2/6  10:54:41.9814	15282.981361775	15290.956515670	20.8	28.2	Antarctic	Match
76	Spectrogram 1	1	2019/2/6  10:55:21.7826	15322.782597101	15325.018621558	36.1	96.5	D	
77	Spectrogram 1	1	2019/2/6  10:55:53.6832	15354.683212681	15360.944081159	14.4	29.2	Antarctic	Match
78	Spectrogram 1	1	2019/2/6  10:59:54.1304	15595.130432156	15602.807449457	19.3	28.2	Antarctic	
79	Spectrogram 1	1	2019/2/6  11:00:16.5963	15616.596266938	15619.204962138	48.0	86.1	D	Match
