Selection	View	Channel	Begin Date Time	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Call Type	Match
1	Spectrogram 1	3	2019/2/3  10:28:07.8586	1688.858554048	1696.823813211	20.2	28.3	Antarctic	
2	Spectrogram 1	3	2019/2/3  10:29:05.0745	1746.074517482	1752.931659149	20.2	27.3	Antarctic	Match
3	Spectrogram 1	3	2019/2/3  10:28:32.4286	1713.428560417	1717.453404438	35.2	77.2	D	
4	Spectrogram 1	3	2019/2/3  10:29:48.7515	1789.751547283	1798.397508514	21.0	27.4	Antarctic	Match
5	Spectrogram 1	3	2019/2/3  10:29:26.3913	1767.391302717	1771.043475996	38.4	72.6	D	Match
6	Spectrogram 1	3	2019/2/3  10:29:35.1863	1776.186332246	1779.838505525	31.5	76.3	D	Match
7	Spectrogram 1	3	2019/2/3  10:29:31.1615	1772.161488225	1775.515524909	41.6	74.0	D	Match
8	Spectrogram 1	3	2019/2/3  10:30:36.4534	1837.453402355	1840.509302446	50.7	90.0	D	Match
9	Spectrogram 1	3	2019/2/3  10:31:24.2298	1885.229810326	1890.596269022	21.5	29.2	Antarctic	
10	Spectrogram 1	3	2019/2/3  10:32:19.7578	1940.757750996	1942.770173007	40.2	95.4	D	
11	Spectrogram 1	3	2019/2/3  10:32:24.6025	1945.602470652	1950.521724457	21.0	27.9	Antarctic	
12	Spectrogram 1	3	2019/2/3  10:31:11.7081	1872.708073370	1874.944097826	29.2	99.5	D	
13	Spectrogram 1	3	2019/2/3  10:32:51.4348	1972.434764130	1974.298117844	34.7	98.2	D	
14	Spectrogram 1	3	2019/2/3  10:34:23.7826	2064.782592935	2073.875759058	21.5	27.9	Antarctic	
15	Spectrogram 1	3	2019/2/3  10:33:15.7329	1996.732915308	1998.596269022	36.5	98.6	D	
16	Spectrogram 1	3	2019/2/3  10:35:59.5590	2160.558992572	2163.018619475	22.8	90.4	D	
17	Spectrogram 1	3	2019/2/3  10:36:53.8199	2214.819871467	2217.204964221	32.9	99.1	D	
18	Spectrogram 1	3	2019/2/3  10:37:30.0435	2251.043467663	2253.354026268	30.1	98.6	D	
19	Spectrogram 1	3	2019/2/3  10:39:02.6149	2343.614898913	2345.776389221	37.9	99.5	D	
20	Spectrogram 1	3	2019/2/3  10:39:09.3230	2350.322972283	2352.708065036	50.2	98.2	D	Match
21	Spectrogram 1	3	2019/2/3  10:39:46.8882	2387.888183152	2390.049673460	35.6	99.1	D	
22	Spectrogram 1	3	2019/2/3  10:39:50.4658	2391.465822283	2393.105573551	35.2	70.3	D	
23	Spectrogram 1	3	2019/2/3  10:40:20.1615	2420.161488225	2425.378878623	20.5	27.9	Antarctic	Match
24	Spectrogram 1	3	2019/2/3  10:40:37.7515	2437.751547283	2439.167696105	37.0	79.0	D	
25	Spectrogram 1	3	2019/2/3  10:41:05.0310	2465.031045652	2468.459616486	19.6	67.1	D	Match
26	Spectrogram 1	3	2019/2/3  10:41:15.7640	2475.763963043	2478.074521649	35.2	86.8	D	Match
27	Spectrogram 1	3	2019/2/3  10:41:31.6397	2491.639736685	2501.031039402	21.0	27.4	Antarctic	Match
28	Spectrogram 1	3	2019/2/3  10:41:56.6087	2516.608676449	2524.956501087	20.5	30.1	Antarctic	Match
29	Spectrogram 1	3	2019/2/3  10:41:45.6522	2505.652156612	2508.037249366	32.9	63.9	D	Match
30	Spectrogram 1	3	2019/2/3  10:41:53.0000	2513.999981250	2516.236005707	30.6	86.8	D	
31	Spectrogram 1	3	2019/2/3  10:42:09.5031	2529.503102899	2532.111798098	45.7	80.4	D	Match
32	Spectrogram 1	3	2019/2/3  10:42:38.2733	2558.273284239	2565.950301540	21.0	27.4	Antarctic	
33	Spectrogram 1	3	2019/2/3  10:43:05.5528	2585.552782609	2594.198743841	22.4	31.1	Antarctic	Match
34	Spectrogram 1	3	2019/2/3  10:42:46.2484	2566.248438134	2568.782599185	36.1	97.7	D	
35	Spectrogram 1	3	2019/2/3  10:43:40.5217	2620.521739040	2634.534158967	22.4	28.3	Antarctic	Match
36	Spectrogram 1	3	2019/2/3  10:44:45.1428	2685.142845833	2701.540358514	17.8	28.8	Antarctic	Match
37	Spectrogram 1	3	2019/2/3  10:44:32.3975	2672.397506431	2677.763965127	27.4	78.5	D	Match
38	Spectrogram 1	3	2019/2/3  10:44:43.8012	2683.801231159	2688.422348370	35.2	73.1	D	
39	Spectrogram 1	3	2019/2/3  10:45:48.1988	2748.198754257	2752.074529982	22.4	28.8	Antarctic	Match
40	Spectrogram 1	3	2019/2/3  10:46:41.3416	2801.341602174	2808.422346286	20.5	27.9	Antarctic	Match
41	Spectrogram 1	3	2019/2/3  10:47:07.3540	2827.354020018	2828.993771286	38.8	72.1	D	
42	Spectrogram 1	3	2019/2/3  10:47:46.7081	2866.708069203	2871.999993750	21.0	27.9	Antarctic	Match
44	Spectrogram 1	3	2019/2/3  10:48:33.7391	2913.739116938	2919.552780525	21.5	28.3	Antarctic	Match
45	Spectrogram 1	3	2019/2/3  10:49:31.8012	2971.801237409	2975.602478986	22.4	60.3	D	
