Selection	View	Channel	Begin Date Time	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Call Type	Match
1	Spectrogram 1	2	2019/2/5  5:28:05.6551	486.655107246	490.456348822	46.700	83.600	D	Match
2	Spectrogram 1	2	2019/2/5  5:28:18.1023	499.102310054	502.679949185	43.600	85.300	D	Match
3	Spectrogram 1	2	2019/2/5  5:28:28.6862	509.686159149	513.040195833	24.400	62.700	D	
4	Spectrogram 1	2	2019/2/5  5:28:41.3570	522.356964402	524.592988859	48.400	87.100	D	Match
5	Spectrogram 1	2	2019/2/5  5:28:48.4377	529.437708514	531.673732971	54.700	77.300	D	Match
6	Spectrogram 1	2	2019/2/5  5:28:55.5185	536.518452627	539.723421014	48.000	78.700	D	Match
7	Spectrogram 1	2	2019/2/5  5:31:09.9781	670.978094112	679.773123641	21.800	28.000	Antarctic	
8	Spectrogram 1	2	2019/2/5  5:31:20.2638	681.263806612	684.245172554	67.600	91.100	D	
9	Spectrogram 1	3	2019/2/5  5:45:32.1553	1532.155267844	1535.285702083	60.900	96.900	D	Match
10	Spectrogram 1	3	2019/2/5  5:47:11.3602	1631.360238315	1633.894399366	33.800	53.800	D	Match
11	Spectrogram 1	3	2019/2/5  5:48:32.3043	1712.304342391	1715.509310779	35.100	64.000	D	Match
12	Spectrogram 1	3	2019/2/5  5:55:13.3727	2113.372651993	2115.086937409	35.100	92.000	D	Match
13	Spectrogram 1	3	2019/2/5  5:55:17.6956	2117.695632609	2119.484452174	35.100	88.900	D	Match
14	Spectrogram 1	2	2019/2/5  7:28:54.4969	7734.496886685	7739.043469746	37.800	63.600	D	Match
15	Spectrogram 1	2	2019/2/5  7:32:50.1739	7970.173901902	7978.447192391	20.400	28.900	Antarctic	Match
16	Spectrogram 1	2	2019/2/5  7:33:14.2484	7994.248431884	7997.677002717	35.600	75.100	D	Match
17	Spectrogram 1	2	2019/2/5  7:33:22.2236	8002.223585779	8004.534144384	28.400	57.800	D	Match
18	Spectrogram 1	2	2019/2/5  7:33:28.5590	8008.558988406	8015.639732518	31.600	70.200	D	Match
19	Spectrogram 1	2	2019/2/5  7:33:38.1739	8018.173912319	8030.844717572	20.000	28.900	Antarctic	
20	Spectrogram 1	2	2019/2/5  7:34:00.9068	8040.906827627	8057.900613496	20.900	28.900	Antarctic	
21	Spectrogram 1	2	2019/2/5  7:34:48.4596	8088.459614402	8104.111785598	14.200	28.000	Antarctic	
22	Spectrogram 1	2	2019/2/5  7:35:18.7950	8118.795012862	8121.105571467	44.000	96.900	D	Match
23	Spectrogram 1	2	2019/2/5  7:36:37.8012	8197.801229076	8201.080731612	36.000	80.400	D	Match
24	Spectrogram 1	2	2019/2/5  7:36:51.3664	8211.366444112	8215.167685688	34.700	75.600	D	Match
25	Spectrogram 1	2	2019/2/5  7:37:04.8571	8224.857125000	8228.285695833	35.100	83.600	D	Match
26	Spectrogram 1	2	2019/2/5  7:37:10.8199	8230.819856884	8234.993769203	46.200	80.000	D	Match
27	Spectrogram 1	2	2019/2/5  7:37:16.4099	8236.409918025	8239.465818116	41.800	77.300	D	Match
28	Spectrogram 1	2	2019/2/5  7:37:21.7764	8241.776395471	8247.068320018	35.600	73.300	D	Match
29	Spectrogram 1	2	2019/2/5  7:38:03.7019	8283.701860870	8292.496890399	19.186	29.070	Antarctic	Match
30	Spectrogram 1	2	2019/2/5  7:37:46.1863	8266.186335960	8271.850931250	40.698	81.395	D	Match
31	Spectrogram 1	2	2019/2/5  7:39:42.7578	8382.757763043	8402.136641667	12.791	30.233	Antarctic	Match
32	Spectrogram 1	2	2019/2/5  7:40:51.6273	8451.627335054	8467.652176993	11.628	30.233	Antarctic	Match
33	Spectrogram 1	2	2019/2/5  7:41:20.3230	8480.322982246	8483.826087228	44.767	83.140	D	Match
34	Spectrogram 1	2	2019/2/5  7:42:04.2981	8524.298148641	8540.472058877	15.698	27.326	Antarctic	Match
35	Spectrogram 1	2	2019/2/5  7:43:13.9130	8593.913043388	8611.055897554	14.535	29.070	Antarctic	Match
36	Spectrogram 1	2	2019/2/5  7:42:38.6584	8558.658391123	8561.639757065	28.488	98.256	D	Match
37	Spectrogram 1	2	2019/2/5  7:42:43.9503	8563.950315670	8566.260874275	43.605	80.233	D	Match
38	Spectrogram 1	2	2019/2/5  7:42:49.1677	8569.167706069	8571.254662228	28.488	80.814	D	Match
39	Spectrogram 1	2	2019/2/5  7:42:54.3106	8574.310562319	8576.248450181	38.372	80.233	D	Match
40	Spectrogram 1	2	2019/2/5  7:43:05.2671	8585.267082156	8586.981367572	37.791	66.860	D	Match
41	Spectrogram 1	2	2019/2/5  7:43:32.0248	8612.024841486	8615.751548913	36.047	79.070	D	Match
42	Spectrogram 1	2	2019/2/5  7:44:02.2112	8642.211190399	8648.844729620	36.628	86.628	D	Match
43	Spectrogram 1	2	2019/2/5  7:44:24.6460	8664.645969112	8683.801245290	15.698	28.488	Antarctic	Match
44	Spectrogram 1	2	2019/2/5  7:44:17.2671	8657.267088406	8663.453422736	31.977	65.116	D	
45	Spectrogram 1	2	2019/2/5  7:44:25.3168	8665.316776449	8672.099383967	44.186	85.465	D	
46	Spectrogram 1	2	2019/2/5  7:45:35.4534	8735.453428986	8751.925475815	14.535	28.488	Antarctic	Match
47	Spectrogram 1	2	2019/2/5  7:45:44.1739	8744.173924366	8751.031066033	47.093	81.977	D	Match
48	Spectrogram 1	2	2019/2/5  7:49:23.7516	8963.751563496	8966.583861141	31.395	62.791	D	Match
49	Spectrogram 1	2	2019/2/5  7:49:29.3416	8969.341624638	8972.770195471	29.651	64.535	D	Match
50	Spectrogram 1	2	2019/2/5  7:49:39.1801	8979.180132246	8984.397522645	35.465	54.070	D	Match
51	Spectrogram 1	2	2019/2/5  7:50:11.1553	9011.155281975	9026.658384873	19.186	29.070	Antarctic	Match
52	Spectrogram 1	2	2019/2/5  7:50:00.0497	9000.049693841	9002.434786594	31.395	71.512	D	
53	Spectrogram 1	2	2019/2/5  7:50:12.7205	9012.720499094	9015.031057699	37.209	77.326	D	Match
54	Spectrogram 1	2	2019/2/5  7:50:23.4534	9023.453416486	9028.819875181	31.977	84.302	D	Match
55	Spectrogram 1	2	2019/2/5  7:50:45.0683	9045.068319565	9052.596268569	20.349	28.488	Antarctic	
56	Spectrogram 1	2	2019/2/5  7:51:21.7391	9081.739139402	9093.366466576	18.023	30.814	Antarctic	Match
57	Spectrogram 1	2	2019/2/5  7:51:47.0062	9107.006215761	9114.534164764	19.186	30.814	Antarctic	Match
58	Spectrogram 1	2	2019/2/5  7:52:36.0497	9156.049685507	9166.037261413	20.930	29.651	Antarctic	
59	Spectrogram 1	2	2019/2/5  7:52:19.1304	9139.130433786	9140.919253351	40.116	69.186	D	
60	Spectrogram 1	2	2019/2/5  7:51:56.0248	9116.024847736	9117.962735598	38.372	90.698	D	
61	Spectrogram 1	2	2019/2/5  7:51:57.8137	9117.813667301	9119.900623460	37.209	96.512	D	
62	Spectrogram 1	2	2019/2/5  7:52:50.4348	9170.434794928	9178.559017120	19.767	30.233	Antarctic	
63	Spectrogram 1	2	2019/2/5  7:53:27.6273	9207.627335054	9210.608700996	50.581	75.000	D	
64	Spectrogram 1	2	2019/2/5  7:54:02.5093	9242.509316576	9248.621116757	36.628	89.535	D	
65	Spectrogram 1	2	2019/2/5  7:54:23.2298	9263.229809873	9268.968939312	31.395	68.605	D	
66	Spectrogram 1	2	2019/2/5  7:54:35.6025	9275.602497283	9280.894421830	50.000	76.744	D	Match
67	Spectrogram 1	2	2019/2/5  7:54:40.8944	9280.894421830	9287.080756159	46.512	82.558	D	Match
68	Spectrogram 1	2	2019/2/5  7:54:46.5590	9286.559017120	9293.639761232	19.186	81.395	D	Match
69	Spectrogram 1	2	2019/2/5  7:54:51.0000	9292.000009964	9299.155288225	26.163	76.744	D	Match
70	Spectrogram 1	2	2019/2/5  7:54:59.1553	9299.155288225	9306.385100634	18.023	29.070	Antarctic	Match
71	Spectrogram 1	2	2019/2/5  7:55:12.5217	9312.521730707	9318.857133333	19.186	28.488	Antarctic	
72	Spectrogram 1	2	2019/2/5  7:55:50.8323	9350.832283062	9355.677002717	22.093	29.070	Antarctic	
73	Spectrogram 1	2	2019/2/5  7:55:29.2919	9329.291914130	9334.360236232	27.326	73.256	D	Match
74	Spectrogram 1	2	2019/2/5  7:55:43.4534	9343.453402355	9348.149053714	33.140	84.302	D	Match
75	Spectrogram 1	2	2019/2/5  7:56:35.4783	9395.478256793	9400.472044746	36.628	75.581	D	Match
76	Spectrogram 1	2	2019/2/5  7:56:49.2671	9409.267074275	9413.888191486	34.302	88.372	d	Match
77	Spectrogram 1	2	2019/2/5  7:57:13.1180	9433.118001812	9437.739119022	36.628	98.256	D	Match
78	Spectrogram 1	2	2019/2/5  7:57:19.3043	9439.304336141	9444.149055797	34.884	79.651	D	Match
79	Spectrogram 1	2	2019/2/5  7:57:25.5652	9445.565204620	9448.024831522	24.419	48.837	D	Match
80	Spectrogram 1	2	2019/2/5  7:57:50.1615	9470.161473641	9474.558988406	27.907	84.302	D	Match
81	Spectrogram 1	2	2019/2/5  7:56:53.2919	9413.291918297	9419.850923370	19.767	29.651	Antarctic	
82	Spectrogram 1	2	2019/2/5  7:57:00.9689	9420.968935598	9429.838499275	18.605	29.070	Antarctic	Match
83	Spectrogram 1	2	2019/2/5  7:57:13.7888	9433.788809149	9445.490670471	19.186	30.233	Antarctic	
84	Spectrogram 1	2	2019/2/5  7:58:13.9379	9493.937885779	9498.559002989	38.372	67.442	D	Match
85	Spectrogram 1	2	2019/2/5  7:58:18.6335	9498.633537138	9505.341610507	40.698	83.721	D	Match
86	Spectrogram 1	2	2019/2/5  7:58:30.5590	9510.559000906	9514.136640036	20.349	74.419	D	Match
87	Spectrogram 1	2	2019/2/5  7:58:33.5404	9513.540366848	9515.999993750	25.000	97.674	D	Match
88	Spectrogram 1	2	2019/2/5  7:58:39.4286	9519.428564583	9528.521730707	30.814	52.326	D	Match
89	Spectrogram 1	2	2019/2/5  7:58:45.9130	9525.913035507	9531.130425906	43.605	80.233	D	Match
90	Spectrogram 1	2	2019/2/5  7:58:59.4037	9539.403716395	9545.515516576	44.186	77.907	D	Match
91	Spectrogram 1	2	2019/2/5  7:58:22.0621	9502.062107971	9512.347820471	20.930	27.326	Antarctic	
92	Spectrogram 1	2	2019/2/5  7:59:45.0186	9585.018615308	9589.565198370	62.209	93.605	D	Match
93	Spectrogram 1	2	2019/2/5  7:59:22.7329	9562.732904891	9570.409922192	20.349	81.395	D	Match
