Input file,Species Code,Call,Start time,End time
H:\Southern Ocean\Antarctica\Antarc_EA_01_decimated\Antarc_EA_01_disk01_df100\Antarc_EA_01_190202_061730_df100.x.wav,Bm,Antarctic,43498.93,43498.93
H:\Southern Ocean\Antarctica\Antarc_EA_01_decimated\Antarc_EA_01_disk01_df100\Antarc_EA_01_190202_061730_df100.x.wav,Bm,Antarctic,43498.94,43498.94
H:\Southern Ocean\Antarctica\Antarc_EA_01_decimated\Antarc_EA_01_disk01_df100\Antarc_EA_01_190202_061730_df100.x.wav,Bm,Antarctic,43498.94,43498.94
H:\Southern Ocean\Antarctica\Antarc_EA_01_decimated\Antarc_EA_01_disk01_df100\Antarc_EA_01_190202_061730_df100.x.wav,Bm,Antarctic,43498.94,43498.94
H:\Southern Ocean\Antarctica\Antarc_EA_01_decimated\Antarc_EA_01_disk01_df100\Antarc_EA_01_190202_061730_df100.x.wav,Bm,Antarctic,43498.94,43498.94
H:\Southern Ocean\Antarctica\Antarc_EA_01_decimated\Antarc_EA_01_disk01_df100\Antarc_EA_01_190202_061730_df100.x.wav,Bm,Antarctic,43498.94,43498.94
H:\Southern Ocean\Antarctica\Antarc_EA_01_decimated\Antarc_EA_01_disk01_df100\Antarc_EA_01_190202_061730_df100.x.wav,Bp,40Hz,43498.94,43498.94
H:\Southern Ocean\Antarctica\Antarc_EA_01_decimated\Antarc_EA_01_disk01_df100\Antarc_EA_01_190202_061730_df100.x.wav,Bm,D,43498.94,43498.94
H:\Southern Ocean\Antarctica\Antarc_EA_01_decimated\Antarc_EA_01_disk01_df100\Antarc_EA_01_190202_061730_df100.x.wav,Bm,Antarctic,43498.94,43498.94
H:\Southern Ocean\Antarctica\Antarc_EA_01_decimated\Antarc_EA_01_disk01_df100\Antarc_EA_01_190202_061730_df100.x.wav,Bm,D,43498.94,43498.94
H:\Southern Ocean\Antarctica\Antarc_EA_01_decimated\Antarc_EA_01_disk01_df100\Antarc_EA_01_190202_061730_df100.x.wav,Bm,Antarctic,43498.94,43498.94
H:\Southern Ocean\Antarctica\Antarc_EA_01_decimated\Antarc_EA_01_disk01_df100\Antarc_EA_01_190202_061730_df100.x.wav,Bm,Antarctic,43498.94,43498.94
H:\Southern Ocean\Antarctica\Antarc_EA_01_decimated\Antarc_EA_01_disk01_df100\Antarc_EA_01_190202_061730_df100.x.wav,Bp,40Hz,43498.96,43498.96
H:\Southern Ocean\Antarctica\Antarc_EA_01_decimated\Antarc_EA_01_disk01_df100\Antarc_EA_01_190202_061730_df100.x.wav,Bm,D,43498.96,43498.96
H:\Southern Ocean\Antarctica\Antarc_EA_01_decimated\Antarc_EA_01_disk01_df100\Antarc_EA_01_190202_061730_df100.x.wav,Bm,D,43498.97,43498.97
H:\Southern Ocean\Antarctica\Antarc_EA_01_decimated\Antarc_EA_01_disk01_df100\Antarc_EA_01_190202_061730_df100.x.wav,Bm,Antarctic,43498.98,43498.98
H:\Southern Ocean\Antarctica\Antarc_EA_01_decimated\Antarc_EA_01_disk01_df100\Antarc_EA_01_190202_061730_df100.x.wav,Bm,Antarctic,43498.98,43498.98
H:\Southern Ocean\Antarctica\Antarc_EA_01_decimated\Antarc_EA_01_disk01_df100\Antarc_EA_01_190202_061730_df100.x.wav,Bm,Antarctic,43498.98,43498.98
H:\Southern Ocean\Antarctica\Antarc_EA_01_decimated\Antarc_EA_01_disk01_df100\Antarc_EA_01_190202_061730_df100.x.wav,Bm,Antarctic,43498.99,43498.99
H:\Southern Ocean\Antarctica\Antarc_EA_01_decimated\Antarc_EA_01_disk01_df100\Antarc_EA_01_190202_061730_df100.x.wav,Bm,Antarctic,43498.99,43498.99
H:\Southern Ocean\Antarctica\Antarc_EA_01_decimated\Antarc_EA_01_disk01_df100\Antarc_EA_01_190202_061730_df100.x.wav,Bm,Antarctic,43498.99,43498.99
H:\Southern Ocean\Antarctica\Antarc_EA_01_decimated\Antarc_EA_01_disk01_df100\Antarc_EA_01_190202_061730_df100.x.wav,Bp,40Hz,43498.99,43498.99
H:\Southern Ocean\Antarctica\Antarc_EA_01_decimated\Antarc_EA_01_disk01_df100\Antarc_EA_01_190202_061730_df100.x.wav,Bm,D,43498.99,43498.99
H:\Southern Ocean\Antarctica\Antarc_EA_01_decimated\Antarc_EA_01_disk01_df100\Antarc_EA_01_190202_061730_df100.x.wav,Bm,D,43499,43499
H:\Southern Ocean\Antarctica\Antarc_EA_01_decimated\Antarc_EA_01_disk01_df100\Antarc_EA_01_190202_061730_df100.x.wav,Bm,D,43499,43499
H:\Southern Ocean\Antarctica\Antarc_EA_01_decimated\Antarc_EA_01_disk01_df100\Antarc_EA_01_190202_061730_df100.x.wav,Bm,D,43499,43499
H:\Southern Ocean\Antarctica\Antarc_EA_01_decimated\Antarc_EA_01_disk01_df100\Antarc_EA_01_190202_061730_df100.x.wav,Bm,D,43499,43499
H:\Southern Ocean\Antarctica\Antarc_EA_01_decimated\Antarc_EA_01_disk01_df100\Antarc_EA_01_190202_061730_df100.x.wav,Bm,D,43499,43499
H:\Southern Ocean\Antarctica\Antarc_EA_01_decimated\Antarc_EA_01_disk01_df100\Antarc_EA_01_190202_061730_df100.x.wav,Bm,D,43499,43499
H:\Southern Ocean\Antarctica\Antarc_EA_01_decimated\Antarc_EA_01_disk01_df100\Antarc_EA_01_190202_061730_df100.x.wav,Bm,D,43499.01,43499.01
H:\Southern Ocean\Antarctica\Antarc_EA_01_decimated\Antarc_EA_01_disk01_df100\Antarc_EA_01_190202_061730_df100.x.wav,Bp,40Hz,43499.01,43499.01
H:\Southern Ocean\Antarctica\Antarc_EA_01_decimated\Antarc_EA_01_disk01_df100\Antarc_EA_01_190202_061730_df100.x.wav,Bm,Antarctic,43499.01,43499.01
H:\Southern Ocean\Antarctica\Antarc_EA_01_decimated\Antarc_EA_01_disk01_df100\Antarc_EA_01_190202_061730_df100.x.wav,Bm,D,43499.01,43499.01
H:\Southern Ocean\Antarctica\Antarc_EA_01_decimated\Antarc_EA_01_disk01_df100\Antarc_EA_01_190202_061730_df100.x.wav,Bm,Antarctic,43499.01,43499.01
H:\Southern Ocean\Antarctica\Antarc_EA_01_decimated\Antarc_EA_01_disk01_df100\Antarc_EA_01_190202_061730_df100.x.wav,Bp,40Hz,43499.02,43499.02
H:\Southern Ocean\Antarctica\Antarc_EA_01_decimated\Antarc_EA_01_disk01_df100\Antarc_EA_01_190202_061730_df100.x.wav,Bm,Antarctic,43499.02,43499.02
H:\Southern Ocean\Antarctica\Antarc_EA_01_decimated\Antarc_EA_01_disk01_df100\Antarc_EA_01_190202_061730_df100.x.wav,Bp,40Hz,43499.02,43499.02
H:\Southern Ocean\Antarctica\Antarc_EA_01_decimated\Antarc_EA_01_disk01_df100\Antarc_EA_01_190202_061730_df100.x.wav,Bp,40Hz,43499.02,43499.02
H:\Southern Ocean\Antarctica\Antarc_EA_01_decimated\Antarc_EA_01_disk01_df100\Antarc_EA_01_190202_061730_df100.x.wav,Bm,D,43499.02,43499.02
H:\Southern Ocean\Antarctica\Antarc_EA_01_decimated\Antarc_EA_01_disk01_df100\Antarc_EA_01_190202_061730_df100.x.wav,Bm,D,43499.02,43499.02
H:\Southern Ocean\Antarctica\Antarc_EA_01_decimated\Antarc_EA_01_disk01_df100\Antarc_EA_01_190202_061730_df100.x.wav,Bm,D,43499.02,43499.02
H:\Southern Ocean\Antarctica\Antarc_EA_01_decimated\Antarc_EA_01_disk01_df100\Antarc_EA_01_190202_061730_df100.x.wav,Bm,D,43499.02,43499.02
H:\Southern Ocean\Antarctica\Antarc_EA_01_decimated\Antarc_EA_01_disk01_df100\Antarc_EA_01_190202_061730_df100.x.wav,Bm,D,43499.02,43499.02
H:\Southern Ocean\Antarctica\Antarc_EA_01_decimated\Antarc_EA_01_disk01_df100\Antarc_EA_01_190202_061730_df100.x.wav,Bm,D,43499.02,43499.02
H:\Southern Ocean\Antarctica\Antarc_EA_01_decimated\Antarc_EA_01_disk01_df100\Antarc_EA_01_190202_061730_df100.x.wav,Bm,D,43499.02,43499.02
H:\Southern Ocean\Antarctica\Antarc_EA_01_decimated\Antarc_EA_01_disk01_df100\Antarc_EA_01_190202_061730_df100.x.wav,Bm,Antarctic,43499.03,43499.03
H:\Southern Ocean\Antarctica\Antarc_EA_01_decimated\Antarc_EA_01_disk01_df100\Antarc_EA_01_190202_061730_df100.x.wav,Bm,D,43499.03,43499.03
H:\Southern Ocean\Antarctica\Antarc_EA_01_decimated\Antarc_EA_01_disk01_df100\Antarc_EA_01_190202_061730_df100.x.wav,Bm,Antarctic,43499.03,43499.03
H:\Southern Ocean\Antarctica\Antarc_EA_01_decimated\Antarc_EA_01_disk01_df100\Antarc_EA_01_190202_061730_df100.x.wav,Bm,D,43499.03,43499.03
H:\Southern Ocean\Antarctica\Antarc_EA_01_decimated\Antarc_EA_01_disk01_df100\Antarc_EA_01_190202_061730_df100.x.wav,Bm,D,43499.03,43499.03
H:\Southern Ocean\Antarctica\Antarc_EA_01_decimated\Antarc_EA_01_disk01_df100\Antarc_EA_01_190202_061730_df100.x.wav,Bm,Antarctic,43499.03,43499.03
H:\Southern Ocean\Antarctica\Antarc_EA_01_decimated\Antarc_EA_01_disk01_df100\Antarc_EA_01_190202_061730_df100.x.wav,Bm,D,43499.03,43499.03
H:\Southern Ocean\Antarctica\Antarc_EA_01_decimated\Antarc_EA_01_disk01_df100\Antarc_EA_01_190202_061730_df100.x.wav,Bm,D,43499.03,43499.03
H:\Southern Ocean\Antarctica\Antarc_EA_01_decimated\Antarc_EA_01_disk01_df100\Antarc_EA_01_190202_061730_df100.x.wav,Bm,Antarctic,43499.03,43499.03
H:\Southern Ocean\Antarctica\Antarc_EA_01_decimated\Antarc_EA_01_disk01_df100\Antarc_EA_01_190202_061730_df100.x.wav,Bm,Antarctic,43499.03,43499.03
H:\Southern Ocean\Antarctica\Antarc_EA_01_decimated\Antarc_EA_01_disk01_df100\Antarc_EA_01_190202_061730_df100.x.wav,Bm,Antarctic,43499.03,43499.03
H:\Southern Ocean\Antarctica\Antarc_EA_01_decimated\Antarc_EA_01_disk01_df100\Antarc_EA_01_190202_061730_df100.x.wav,Bm,Antarctic,43499.03,43499.03
H:\Southern Ocean\Antarctica\Antarc_EA_01_decimated\Antarc_EA_01_disk01_df100\Antarc_EA_01_190202_061730_df100.x.wav,Bm,D,43499.04,43499.04
H:\Southern Ocean\Antarctica\Antarc_EA_01_decimated\Antarc_EA_01_disk01_df100\Antarc_EA_01_190202_061730_df100.x.wav,Bm,D,43499.04,43499.04
H:\Southern Ocean\Antarctica\Antarc_EA_01_decimated\Antarc_EA_01_disk01_df100\Antarc_EA_01_190202_061730_df100.x.wav,Bm,D,43499.04,43499.04
H:\Southern Ocean\Antarctica\Antarc_EA_01_decimated\Antarc_EA_01_disk01_df100\Antarc_EA_01_190202_061730_df100.x.wav,Bm,D,43499.04,43499.04
H:\Southern Ocean\Antarctica\Antarc_EA_01_decimated\Antarc_EA_01_disk01_df100\Antarc_EA_01_190202_061730_df100.x.wav,Bm,D,43499.04,43499.04
H:\Southern Ocean\Antarctica\Antarc_EA_01_decimated\Antarc_EA_01_disk01_df100\Antarc_EA_01_190202_061730_df100.x.wav,Bm,D,43499.04,43499.04
H:\Southern Ocean\Antarctica\Antarc_EA_01_decimated\Antarc_EA_01_disk01_df100\Antarc_EA_01_190202_061730_df100.x.wav,Bm,D,43499.04,43499.04
H:\Southern Ocean\Antarctica\Antarc_EA_01_decimated\Antarc_EA_01_disk01_df100\Antarc_EA_01_190202_061730_df100.x.wav,Bm,D,43499.04,43499.04
H:\Southern Ocean\Antarctica\Antarc_EA_01_decimated\Antarc_EA_01_disk01_df100\Antarc_EA_01_190202_061730_df100.x.wav,Bm,D,43499.04,43499.04
