Selection	View	Channel	Begin Date Time	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Call Type
1	Spectrogram 1	1	2019/2/5  5:27:42.3602	312.360155280	315.714178571	43.200	78.600	D
2	Spectrogram 1	1	2019/2/5  5:27:54.6582	324.658240683	328.310399379	36.500	83.900	D
3	Spectrogram 1	1	2019/2/5  5:28:20.9687	350.968690062	353.502840994	32.300	87.500	D
4	Spectrogram 1	1	2019/2/5  5:28:25.4407	355.440721118	357.676736646	42.200	73.400	D
5	Spectrogram 1	1	2019/2/5  5:28:33.0432	363.043173913	365.651858696	42.700	82.800	D
6	Spectrogram 1	1	2019/2/5  5:45:16.3538	1366.353823292	1369.484245031	57.300	96.900	D
7	Spectrogram 1	1	2019/2/5  5:46:54.8880	1464.888024224	1467.794844410	33.900	70.800	D
8	Spectrogram 1	1	2019/2/5  5:48:15.6832	1545.683168634	1549.037191925	24.500	68.800	D
9	Spectrogram 1	1	2019/2/5  5:54:56.8257	1946.825704348	1948.912652174	35.400	94.800	D
10	Spectrogram 1	1	2019/2/5  5:55:01.1487	1951.148667702	1953.235615528	33.900	93.800	D
11	Spectrogram 1	1	2019/2/5  7:29:09.1488	7374.148817702	7378.620848758	35.900	66.100	D
12	Spectrogram 1	1	2019/2/5  7:32:42.9873	7587.987336025	7595.515254969	20.800	30.700	Antarctic
13	Spectrogram 1	1	2019/2/5  7:33:29.5710	7634.570992857	7637.552346894	31.800	78.100	D
14	Spectrogram 1	1	2019/2/5  7:33:36.9498	7641.949844099	7644.409461180	27.600	59.900	D
15	Spectrogram 1	1	2019/2/5  7:33:43.2857	7648.285671429	7652.832236335	38.000	77.600	D
16	Spectrogram 1	1	2019/2/5  7:34:18.6147	7683.614716770	7686.074333851	49.500	95.800	D
17	Spectrogram 1	1	2019/2/5  7:33:33.3727	7638.372669255	7647.763934472	18.200	30.200	Antarctic
18	Spectrogram 1	1	2019/2/5  7:35:37.8447	7762.844650311	7765.975072050	35.400	79.700	D
19	Spectrogram 1	1	2019/2/5  7:35:51.2607	7776.260743478	7779.465699068	38.000	75.500	D
20	Spectrogram 1	1	2019/2/5  7:36:05.0495	7790.049505901	7792.956326087	38.000	79.700	D
21	Spectrogram 1	1	2019/2/5  7:36:10.7886	7795.788612422	7798.471831056	43.800	78.600	D
22	Spectrogram 1	1	2019/2/5  7:36:16.9004	7801.900388199	7804.285471429	46.900	77.600	D
23	Spectrogram 1	1	2019/2/5  7:36:21.6706	7806.670554658	7810.024577950	36.500	78.600	D
24	Spectrogram 1	1	2019/2/5  7:36:46.3787	7831.378709938	7841.664381366	19.900	28.358	Antarctic
25	Spectrogram 1	1	2019/2/5  7:36:46.6768	7831.676845342	7834.881800932	42.289	80.597	D
26	Spectrogram 1	1	2019/2/5  7:38:21.0372	7926.037150621	7943.030868634	14.925	29.353	Antarctic
27	Spectrogram 1	1	2019/2/5  7:39:31.3230	7996.323022050	8011.229792236	13.433	30.846	Antarctic
28	Spectrogram 1	1	2019/2/5  7:40:20.5899	8045.589897516	8048.124048447	47.761	85.572	D
29	Spectrogram 1	1	2019/2/5  7:40:41.4594	8066.459375776	8078.012122671	16.915	30.846	Antarctic
30	Spectrogram 1	1	2019/2/5  7:41:52.5651	8137.565119565	8153.142694410	14.428	28.856	Antarctic
31	Spectrogram 1	1	2019/2/5  7:41:38.8509	8123.850890994	8126.385041925	38.308	95.025	D
32	Spectrogram 1	1	2019/2/5  7:41:43.8447	8128.844659006	8131.006140683	43.284	83.582	D
33	Spectrogram 1	1	2019/2/5  7:41:49.1366	8134.136562422	8135.999908696	39.303	83.582	D
34	Spectrogram 1	1	2019/2/5  7:41:54.2794	8139.279398137	8141.366345963	39.303	83.085	D
35	Spectrogram 1	1	2019/2/5  7:42:05.0868	8150.086806522	8152.173754348	37.811	68.159	D
36	Spectrogram 1	1	2019/2/5  7:42:32.3662	8177.366195963	8180.347550000	42.289	78.109	D
37	Spectrogram 1	1	2019/2/5  7:43:02.4783	8207.478321739	8211.205014286	51.244	85.572	D
38	Spectrogram 1	1	2019/2/5  7:43:03.0001	8208.000058696	8228.645935404	14.428	27.861	Antarctic
39	Spectrogram 1	1	2019/2/5  7:43:17.0870	8222.086956522	8225.440979814	44.776	68.159	D
40	Spectrogram 1	1	2019/2/5  7:43:25.6583	8230.658349379	8234.012372671	55.224	81.592	D
41	Spectrogram 1	1	2019/2/5  7:44:11.9439	8276.943870807	8298.186018323	13.433	28.358	Antarctic
42	Spectrogram 1	1	2019/2/5  7:44:44.4411	8309.441079814	8313.540441615	44.279	82.090	D
43	Spectrogram 1	1	2019/2/5  7:48:23.5715	8528.571501553	8531.478321739	33.831	61.692	D
44	Spectrogram 1	1	2019/2/5  7:48:29.0870	8534.087006522	8537.068360559	31.343	72.637	D
45	Spectrogram 1	1	2019/2/5  7:48:39.0745	8544.074542547	8548.472039752	37.811	57.214	D
46	Spectrogram 1	1	2019/2/5  7:48:51.8944	8556.894364907	8564.049614596	20.896	29.353	Antarctic
47	Spectrogram 1	1	2019/2/5  7:49:13.1365	8578.136512422	8580.148926398	39.801	71.642	D
48	Spectrogram 1	1	2019/2/5  7:49:23.7949	8588.794853106	8592.148876398	39.303	83.582	D
49	Spectrogram 1	1	2019/2/5  7:51:51.0746	8736.074642547	8743.826163043	20.896	27.861	Antarctic
50	Spectrogram 1	1	2019/2/5  7:52:21.7081	8766.708055280	8775.055846584	20.398	28.358	Antarctic
51	Spectrogram 1	1	2019/2/5  7:53:35.6461	8840.646085404	8844.149176398	57.214	74.627	D
52	Spectrogram 1	1	2019/2/5  7:53:41.4597	8846.459725776	8849.813749068	59.204	82.587	D
53	Spectrogram 1	1	2019/2/5  7:53:47.2734	8852.273366149	8856.298194099	38.308	77.114	D
54	Spectrogram 1	1	2019/2/5  7:53:52.2671	8857.267134161	8862.782639130	33.831	78.109	D
55	Spectrogram 1	1	2019/2/5  7:53:38.5529	8843.552905590	8852.124298447	20.896	28.358	Antarctic
56	Spectrogram 1	1	2019/2/5  7:54:29.1614	8894.161390373	8899.229692236	30.846	66.667	D
57	Spectrogram 1	1	2019/2/5  7:54:43.3974	8908.397355901	8912.124048447	34.826	85.572	D
58	Spectrogram 1	1	2019/2/5  7:55:35.4970	8960.496967702	8963.925524845	35.323	75.622	D
59	Spectrogram 1	1	2019/2/5  7:55:49.5839	8974.583865528	8978.012422671	35.323	87.562	D
