Selection	View	Channel	Begin Date Time	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Call Type
1	Spectrogram 1	1	2019/2/6  11:29:46.7514	1111.751420497	1114.211037578	57.2	89.4	D
2	Spectrogram 1	1	2019/2/6  11:40:29.0123	1754.012313975	1764.745188509	17.8	30.0	Antarctic
3	Spectrogram 1	1	2019/2/6  12:15:49.6024	3799.602402795	3808.173795652	20.0	29.4	Antarctic
4	Spectrogram 1	1	2019/2/6  12:22:21.5773	4191.577274845	4200.074133851	19.4	29.4	Antarctic
5	Spectrogram 1	1	2019/2/6  12:29:33.3537	4623.353673292	4630.881592236	21.1	29.4	Antarctic
6	Spectrogram 1	1	2019/2/6  12:31:27.6891	4737.689050621	4743.502690994	19.4	31.1	Antarctic
7	Spectrogram 1	1	2019/2/6  12:33:40.5093	4870.509272981	4879.304267391	18.3	30.6	Antarctic
8	Spectrogram 1	1	2019/2/6  12:59:04.4347	6394.434689130	6396.968840062	32.2	98.9	D
9	Spectrogram 1	1	2019/2/6  13:01:53.9996	6563.999650000	6572.123839752	21.1	29.4	Antarctic
10	Spectrogram 1	1	2019/2/6  12:59:57.0556	6447.055587888	6451.974822050	40.0	79.4	D
11	Spectrogram 1	1	2019/2/6  13:00:25.5275	6475.527518944	6486.185859627	20.0	29.4	Antarctic
12	Spectrogram 1	1	2019/2/6  13:02:58.4719	6628.471881056	6637.565010870	20.0	30.0	Antarctic
13	Spectrogram 1	1	2019/2/6  13:16:13.7702	7348.770166460	7358.906770186	20.0	29.4	Antarctic
14	Spectrogram 1	1	2019/2/6  13:26:40.2294	7975.229433540	7978.583456832	13.3	37.8	D
15	Spectrogram 1	1	2019/2/6  13:30:01.2481	8176.248129503	8183.999650000	20.0	30.0	Antarctic
