Selection	View	Channel	Begin Date Time	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Call Type
1	Spectrogram 1	1	2019/2/4  13:40:27.1303	3027.130321739	3029.813540373	32.1	78.6	D
2	Spectrogram 1	1	2019/2/4  13:49:18.4844	3558.484395031	3560.571342857	25.7	80.2	D
3	Spectrogram 1	1	2019/2/4  13:52:45.6149	3765.614866770	3769.863296273	32.1	87.2	D
4	Spectrogram 1	1	2019/2/4  13:57:11.3289	4031.328945342	4039.453135093	32.1	84.5	D
5	Spectrogram 1	1	2019/2/4  14:02:19.9004	4339.900438199	4345.937680124	19.3	29.9	Antarctic
6	Spectrogram 1	1	2019/2/4  14:08:08.7947	4688.794744410	4694.533850932	33.7	86.1	D
7	Spectrogram 1	1	2019/2/4  14:08:05.8134	4685.813390373	4687.974872050	29.4	78.6	D
8	Spectrogram 1	1	2019/2/4  14:20:30.7824	5430.782380435	5432.645726708	46.0	97.9	D
9	Spectrogram 1	1	2019/2/4  14:42:33.9127	6753.912702174	6757.564860870	34.2	87.7	D
10	Spectrogram 1	1	2019/2/4  15:19:06.4844	8946.484445031	8949.167663665	39.6	86.1	D
11	Spectrogram 1	1	2019/2/4  15:23:47.5710	9152.570992857	9157.937430124	25.7	80.7	D
12	Spectrogram 1	1	2019/2/4  15:30:57.3350	9582.334977329	9591.502640994	18.7	29.9	Antarctic
13	Spectrogram 1	1	2019/2/4  15:37:40.3413	9985.341309317	9988.620798758	21.4	96.8	D
14	Spectrogram 1	1	2019/2/4  15:37:43.9935	9988.993468012	9993.912702174	21.9	77.0	D
15	Spectrogram 1	1	2019/2/4  15:38:15.2977	10020.297685404	10027.676536646	21.4	31.6	Antarctic
16	Spectrogram 1	1	2019/2/4  15:38:09.1114	10014.111375776	10017.987136025	33.7	83.4	D
17	Spectrogram 1	1	2019/2/4  15:38:01.6580	10006.657990683	10010.757352484	32.1	89.3	D
18	Spectrogram 1	1	2019/2/4  15:38:27.8944	10032.894356211	10042.881892236	27.8	78.6	D
19	Spectrogram 1	1	2019/2/4  15:39:08.2172	10073.217169565	10078.434539130	29.9	87.7	D
20	Spectrogram 1	1	2019/2/4  15:41:02.9252	10187.925216149	10194.409661180	33.7	80.7	D
21	Spectrogram 1	1	2019/2/4  15:41:46.3785	10231.378451242	10234.657940683	36.4	94.1	D
22	Spectrogram 1	1	2019/2/4  15:41:59.9441	10244.944062112	10252.471981056	33.2	85.6	D
23	Spectrogram 1	1	2019/2/4  15:43:35.4965	10340.496459006	10348.397047205	19.3	28.9	Antarctic
