Selection	View	Channel	Begin Date Time	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Call Type
1	Spectrogram 1	1	2019/2/5  0:22:08.1241	503.124139752	516.242097516	19.6	29.9	Antarctic
2	Spectrogram 1	1	2019/2/5  0:23:17.4406	572.440621118	587.570992857	19.0	29.9	Antarctic
3	Spectrogram 1	1	2019/2/5  0:24:28.1737	643.173695652	657.186059627	18.5	29.9	Antarctic
4	Spectrogram 1	1	2019/2/5  0:25:36.5962	711.596220807	726.055787888	17.9	31.5	Antarctic
5	Spectrogram 1	1	2019/2/5  0:29:39.1303	954.130271739	965.683018634	20.7	30.4	Antarctic
6	Spectrogram 1	1	2019/2/5  0:30:48.5217	1023.521736957	1035.819822360	19.6	32.1	Antarctic
7	Spectrogram 1	1	2019/2/5  0:32:01.4158	1096.415843168	1099.173595652	44.6	63.6	D
8	Spectrogram 1	1	2019/2/5  0:32:08.1984	1103.198423602	1106.850582298	38.6	82.1	D
9	Spectrogram 1	1	2019/2/5  0:32:15.8754	1110.875410248	1113.036891925	32.1	88.6	D
10	Spectrogram 1	1	2019/2/5  0:32:20.8692	1115.869178261	1118.850532298	26.1	85.9	D
11	Spectrogram 1	1	2019/2/5  0:33:09.5402	1164.540232919	1177.136453727	19.0	31.0	Antarctic
12	Spectrogram 1	1	2019/2/5  0:34:22.9561	1237.956076087	1248.763484472	18.5	30.4	Antarctic
13	Spectrogram 1	1	2019/2/5  0:42:08.8694	1703.869428261	1716.391115217	20.7	28.8	Antarctic
14	Spectrogram 1	1	2019/2/5  0:57:17.9811	2462.981104037	2475.353723292	17.9	31.0	Antarctic
15	Spectrogram 1	1	2019/2/5  0:56:25.2111	2410.211137578	2412.447153106	25.5	64.7	D
16	Spectrogram 1	1	2019/2/5  0:56:30.5030	2415.503040994	2418.633462733	30.4	77.7	D
17	Spectrogram 1	1	2019/2/5  0:56:38.3291	2423.329095342	2426.086847826	37.5	82.1	D
18	Spectrogram 1	1	2019/2/5  0:56:44.3663	2429.366337267	2432.422225155	35.3	79.3	D
19	Spectrogram 1	1	2019/2/5  0:58:17.8322	2522.832236335	2534.832186335	17.9	29.3	Antarctic
20	Spectrogram 1	1	2019/2/5  0:58:30.6521	2535.652058696	2538.558878882	35.3	60.9	D
21	Spectrogram 1	1	2019/2/5  0:58:34.7514	2539.751420497	2545.714128571	15.8	70.1	D
22	Spectrogram 1	1	2019/2/5  0:58:43.9191	2548.919084161	2553.540182919	37.0	76.6	D
23	Spectrogram 1	1	2019/2/5  1:00:12.4657	2637.465749068	2646.260743478	18.5	31.0	Antarctic
24	Spectrogram 1	1	2019/2/5  1:01:59.6459	2744.645876708	2748.447103106	56.0	95.1	D
25	Spectrogram 1	1	2019/2/5  1:05:09.3350	2934.334977329	2936.720060559	34.2	92.4	D
26	Spectrogram 1	1	2019/2/5  1:05:14.7014	2939.701414596	2942.161031677	48.4	94.0	D
27	Spectrogram 1	1	2019/2/5  1:03:38.7763	2843.776348447	2847.726642547	29.9	81.5	D
28	Spectrogram 1	1	2019/2/5  1:04:00.5402	2865.540232919	2868.148917702	46.2	90.8	D
29	Spectrogram 1	1	2019/2/5  1:04:17.9066	2882.906620186	2885.515304969	42.4	90.2	D
30	Spectrogram 1	1	2019/2/5  1:05:30.4285	2955.428507143	2959.602402795	33.7	81.0	D
