Selection	View	Channel	Begin Date Time	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Call Type
1	Spectrogram 1	1	2019/2/3  10:28:00.8187	30.818730149	40.123902295	16.3	28.6	
2	Spectrogram 1	1	2019/2/3  10:28:55.5649	85.564860870	97.713878571	17.9	29.3	Antarctic
3	Spectrogram 1	1	2019/2/3  10:29:55.2359	145.235865528	156.192341615	20.1	27.7	Antarctic
4	Spectrogram 1	1	2019/2/3  10:29:21.6211	111.621098758	115.198723602	39.7	72.3	Antarctic
5	Spectrogram 1	1	2019/2/3  10:29:30.0434	120.043423913	123.695582609	29.9	78.3	D
6	Spectrogram 1	1	2019/2/3  10:29:26.9875	116.987536025	118.925416149	45.7	68.5	D
7	Spectrogram 1	1	2019/2/3  10:30:42.7885	192.788462422	196.440621118	44.6	88.6	D
8	Spectrogram 1	1	2019/2/3  10:39:17.2234	707.223351553	709.682968634	52.7	98.9	D
9	Spectrogram 1	1	2019/2/3  10:40:32.3539	782.353923292	788.316631366	20.7	27.7	Antarctic
10	Spectrogram 1	1	2019/2/3  10:41:09.6954	819.695382609	822.154999689	29.9	58.7	D
11	Spectrogram 1	1	2019/2/3  10:41:19.9811	829.981054037	832.664272671	24.5	77.7	D
12	Spectrogram 1	1	2019/2/3  10:41:40.5524	850.552396894	859.943662112	20.1	29.9	Antarctic
13	Spectrogram 1	1	2019/2/3  10:41:56.5772	866.577174845	874.403229193	21.7	29.9	Antarctic
14	Spectrogram 1	1	2019/2/3  10:41:49.6455	859.645526708	863.074083851	21.7	60.3	D
15	Spectrogram 1	1	2019/2/3  10:42:13.7949	883.794944410	886.254561491	40.2	76.6	D
16	Spectrogram 1	1	2019/2/3  10:43:03.8072	933.807158385	943.049355901	21.2	30.4	Antarctic
17	Spectrogram 1	1	2019/2/3  10:43:32.9068	962.906820186	976.099311801	19.6	28.8	Antarctic
18	Spectrogram 1	1	2019/2/3  10:44:45.8755	1035.875460248	1046.831936335	17.4	29.9	Antarctic
19	Spectrogram 1	1	2019/2/3  10:44:27.1054	1017.105393789	1020.906620186	37.0	76.6	D
20	Spectrogram 1	1	2019/2/3  10:43:52.4472	982.447153106	987.440921118	21.2	27.7	Antarctic
21	Spectrogram 1	1	2019/2/3  10:45:56.6955	1106.695532609	1111.167563665	20.7	28.8	Antarctic
22	Spectrogram 1	1	2019/2/3  10:46:47.6022	1157.602152795	1165.726342547	20.7	30.4	Antarctic
23	Spectrogram 1	1	2019/2/3  10:51:34.3352	1444.335227329	1450.819672360	19.6	28.8	Antarctic
24	Spectrogram 1	1	2019/2/3  10:57:57.2170	1827.216969565	1836.310099379	19.6	31.5	Antarctic
25	Spectrogram 1	1	2019/2/3  10:59:03.7016	1893.701614596	1901.378601242	20.1	27.7	Antarctic
26	Spectrogram 1	1	2019/2/3  11:02:37.2420	2107.241997516	2117.304067391	19.0	28.8	Antarctic
27	Spectrogram 1	1	2019/2/3  11:03:55.4285	2185.428457143	2193.030909938	20.1	29.9	Antarctic
28	Spectrogram 1	1	2019/2/3  11:09:04.0745	2494.074483851	2497.950244099	19.6	28.8	Antarctic
29	Spectrogram 1	1	2019/2/3  11:09:53.1178	2543.117757764	2547.440721118	21.2	30.4	Antarctic
30	Spectrogram 1	1	2019/2/3  11:11:33.1426	2643.142635714	2647.018395963	20.1	32.1	Antarctic
31	Spectrogram 1	1	2019/2/3  11:13:16.7451	2746.745138509	2751.217169565	20.1	31.0	Antarctic
32	Spectrogram 1	1	2019/2/3  11:13:48.7202	2778.720160559	2782.894056211	20.1	29.9	Antarctic
33	Spectrogram 1	1	2019/2/3  11:14:47.3042	2837.304217391	2844.459467081	20.1	31.5	Antarctic
34	Spectrogram 1	1	2019/2/3  11:16:53.4159	2963.415943168	2969.378651242	18.5	30.4	Antarctic
35	Spectrogram 1	1	2019/2/3  11:40:30.1548	4380.154849689	4382.465399068	40.2	87.5	D
36	Spectrogram 1	1	2019/2/3  11:42:56.0930	4526.093029814	4529.894256211	41.8	85.3	D
