Selection	View	Channel	Begin Date Time	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Call Type
1	Spectrogram 1	1	2019/2/5  10:22:23.6272	1943.627180745	1946.757602484	36.5	82.9	D
2	Spectrogram 1	1	2019/2/5  10:22:45.5401	1965.540132919	1975.154999689	20.4	31.5	Antarctic
3	Spectrogram 1	1	2019/2/5  10:25:37.7888	2137.788762422	2140.471981056	29.8	71.3	D
4	Spectrogram 1	1	2019/2/5  10:27:05.2915	2225.291503416	2226.707646584	46.4	81.2	D
5	Spectrogram 1	1	2019/2/5  10:27:49.1179	2269.117857764	2280.372469255	19.9	30.4	Antarctic
6	Spectrogram 1	1	2019/2/5  10:28:08.6457	2288.645726708	2292.223351553	37.6	75.7	D
7	Spectrogram 1	1	2019/2/5  10:28:15.2047	2295.204705590	2298.558728882	43.1	85.6	D
8	Spectrogram 1	1	2019/2/5  10:28:21.7637	2301.763684472	2305.490377019	38.7	83.4	D
9	Spectrogram 1	1	2019/2/5  10:28:27.3537	2307.353723292	2311.602152795	44.8	78.5	D
10	Spectrogram 1	1	2019/2/5  10:28:32.7202	2312.720160559	2321.589688820	17.1	29.8	Antarctic
11	Spectrogram 1	1	2019/2/5  10:29:42.8570	2382.856964286	2395.378651242	17.7	29.3	Antarctic
12	Spectrogram 1	1	2019/2/5  10:30:17.8133	2417.813340373	2420.571092857	44.8	97.2	D
13	Spectrogram 1	1	2019/2/5  10:30:52.3975	2452.397497205	2464.248379503	20.4	28.7	Antarctic
14	Spectrogram 1	1	2019/2/5  10:31:18.2607	2478.260743478	2484.223451553	21.0	30.4	Antarctic
15	Spectrogram 1	1	2019/2/5  10:32:02.1612	2522.161181677	2534.533800932	19.3	32.0	Antarctic
16	Spectrogram 1	1	2019/2/5  10:38:05.0683	2885.068301863	2896.099311801	16.0	30.9	Antarctic
17	Spectrogram 1	1	2019/2/5  10:39:15.4283	2955.428257143	2963.850582298	20.4	28.7	Antarctic
18	Spectrogram 1	1	2019/2/5  10:39:20.6456	2960.645626708	2963.328845342	39.2	80.7	D
19	Spectrogram 1	1	2019/2/5  10:39:28.5462	2968.546214907	2971.602102795	37.0	77.3	D
20	Spectrogram 1	1	2019/2/5  10:40:26.6831	3026.683068634	3035.478063043	21.0	31.5	Antarctic
21	Spectrogram 1	1	2019/2/5  10:40:51.3538	3051.353773292	3054.186059627	40.9	79.0	D
22	Spectrogram 1	1	2019/2/5  10:40:37.7886	3037.788612422	3041.366237267	40.9	86.7	D
