Selection	View	Channel	Begin Date Time	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Call Type
1	Spectrogram 1	1	2019/2/4  9:32:46.8819	4216.881892236	4225.229683540	21.100	30.300	Antarctic
2	Spectrogram 1	1	2019/2/4  9:33:10.4346	4240.434589130	4250.496659006	20.400	29.200	Antarctic
3	Spectrogram 1	1	2019/2/4  9:33:24.9997	4253.999750000	4262.720210559	20.800	28.700	Antarctic
4	Spectrogram 1	1	2019/2/4  9:33:45.0928	4275.092829814	4281.279139441	21.300	30.100	Antarctic
5	Spectrogram 1	1	2019/2/4  9:35:41.2170	4391.217019565	4399.490277019	15.300	24.100	Antarctic
6	Spectrogram 1	1	2019/2/4  9:46:03.7264	5013.726442547	5025.502790994	19.900	29.600	Antarctic
7	Spectrogram 1	1	2019/2/4  10:46:16.8817	8476.881692236	8485.751220497	20.800	30.600	Antarctic
8	Spectrogram 1	1	2019/2/4  10:47:18.6707	8538.670704658	8549.552646894	20.400	27.300	Antarctic
9	Spectrogram 1	1	2019/2/4  12:30:45.4657	14595.465699068	14606.273107453	16.700	31.000	Antarctic
10	Spectrogram 1	1	2019/2/4  12:38:43.0804	15073.080415839	15082.918884161	19.900	29.200	Antarctic
11	Spectrogram 1	1	2019/2/4  12:38:54.4096	15084.409561180	15088.732524534	33.800	91.700	D
12	Spectrogram 1	1	2019/2/4  12:45:36.9998	15485.999750000	15491.366187267	35.200	85.600	D
13	Spectrogram 1	1	2019/2/4  12:46:46.3602	15556.360155280	15559.416043168	53.700	94.400	D
14	Spectrogram 1	1	2019/2/4  12:52:54.7823	15924.782330435	15928.732624534	29.200	83.300	D
15	Spectrogram 1	1	2019/2/4  12:55:10.3599	16060.359855280	16065.651758696	33.800	89.800	D
16	Spectrogram 1	1	2019/2/4  13:12:49.2668	17119.266775466	17122.546264907	27.800	95.400	D
