Selection	View	Channel	Begin Date Time	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Call Type
1	Spectrogram 1	1	2019/2/4  4:42:06.0558	351.055787888	359.030909938	20.100	29.600	
2	Spectrogram 1	1	2019/2/4  4:42:45.4097	390.409661180	398.459317081	17.500	31.700	Antarctic
3	Spectrogram 1	1	2019/2/4  4:42:57.3351	402.335077329	409.713928571	16.400	30.200	Antarctic
4	Spectrogram 1	1	2019/2/4  4:43:19.8443	424.844300311	431.254211491	21.200	29.600	Antarctic
5	Spectrogram 1	1	2019/2/4  4:43:27.7453	432.745338509	438.708046584	18.500	76.700	D
6	Spectrogram 1	1	2019/2/4  4:43:34.4534	439.453385093	444.372619255	41.800	77.200	D
7	Spectrogram 1	1	2019/2/4  4:43:56.5154	461.515404969	468.968790062	28.000	73.500	D
8	Spectrogram 1	1	2019/2/4  4:50:43.5466	868.546564907	872.869528261	36.500	74.600	D
9	Spectrogram 1	1	2019/2/4  4:50:52.4161	877.416093168	881.217319565	38.100	66.100	D
10	Spectrogram 1	1	2019/2/4  4:53:20.6644	1025.664372671	1035.800976398	19.600	30.200	Antarctic
11	Spectrogram 1	1	2019/2/4  4:54:28.4906	1093.490627019	1101.242147516	13.800	29.100	Antarctic
12	Spectrogram 1	1	2019/2/4  4:54:46.6769	1111.676886646	1118.235865528	12.200	29.600	Antarctic
13	Spectrogram 1	1	2019/2/4  4:55:05.1613	1130.161281677	1136.869328261	16.900	29.600	Antarctic
14	Spectrogram 1	1	2019/2/4  4:55:25.8817	1150.881692236	1156.844400311	18.000	29.600	Antarctic
15	Spectrogram 1	1	2019/2/4  5:05:54.1302	1779.130221739	1782.856914286	38.100	70.900	D
16	Spectrogram 1	1	2019/2/4  5:17:09.8569	2379.856914286	2382.763734472	34.400	61.900	D
17	Spectrogram 1	1	2019/2/4  5:17:15.4470	2385.446953106	2389.620848758	36.000	77.800	D
18	Spectrogram 1	1	2019/2/4  5:17:21.7078	2391.707796584	2394.689150621	37.600	76.200	D
19	Spectrogram 1	1	2019/2/4  5:17:41.0866	2411.086597826	2413.993418012	33.900	75.100	D
20	Spectrogram 1	1	2019/2/4  5:18:01.5089	2431.508872981	2435.011963975	18.500	29.600	Antarctic
21	Spectrogram 1	1	2019/2/4  5:17:58.1548	2428.154849689	2432.254211491	30.700	65.600	D
22	Spectrogram 1	1	2019/2/4  5:18:06.1300	2436.129971739	2438.067851863	29.100	88.400	D
23	Spectrogram 1	1	2019/2/4  5:18:21.2608	2451.260793478	2454.465749068	36.000	74.600	D
24	Spectrogram 1	1	2019/2/4  5:18:34.3788	2464.378751242	2468.329045342	39.700	68.300	D
25	Spectrogram 1	1	2019/2/4  5:20:54.4283	2604.428307143	2609.123939752	47.600	69.800	D
26	Spectrogram 1	1	2019/2/4  5:27:34.0806	3004.080615839	3005.347691304	78.800	99.500	Match
27	Spectrogram 1	1	2019/2/4  5:48:59.1241	4289.124139752	4292.403629193	38.100	83.100	D
28	Spectrogram 1	1	2019/2/4  5:49:45.0370	4335.036991925	4338.987286025	46.600	70.400	D
29	Spectrogram 1	1	2019/2/4  5:56:06.1304	4716.130371739	4719.111725776	47.600	94.700	D
30	Spectrogram 1	1	2019/2/4  5:59:33.4095	4923.409461180	4926.018145963	60.300	81.500	D
31	Spectrogram 1	1	2019/2/4  6:00:41.3102	4991.310249379	4993.993468012	54.500	92.100	D
32	Spectrogram 1	1	2019/2/4  6:00:52.0431	5002.043123913	5004.651808696	48.700	78.800	D
33	Spectrogram 1	1	2019/2/4  6:02:31.9935	5101.993468012	5105.198423602	48.100	92.100	D
34	Spectrogram 1	1	2019/2/4  6:05:20.8135	5270.813540373	5273.571292857	30.200	70.400	D
35	Spectrogram 1	1	2019/2/4  6:05:26.7017	5276.701714596	5279.086797826	25.400	63.500	D
36	Spectrogram 1	1	2019/2/4  6:05:52.6395	5302.639494720	5305.620848758	19.600	65.600	D
37	Spectrogram 1	1	2019/2/4  6:05:59.6457	5309.645676708	5312.701564596	28.000	69.800	D
38	Spectrogram 1	1	2019/2/4  6:06:09.8568	5319.856814286	5322.018295963	34.900	65.100	D
39	Spectrogram 1	1	2019/2/4  6:07:16.7141	5386.714128571	5389.173745652	40.700	76.200	D
40	Spectrogram 1	1	2019/2/4  6:07:45.4097	5415.409661180	5417.794744410	35.400	68.800	D
41	Spectrogram 1	1	2019/2/4  6:12:19.9937	5689.993718012	5693.422275155	43.900	79.400	D
42	Spectrogram 1	1	2019/2/4  6:13:09.0370	5739.036991925	5741.123939752	21.700	66.100	D
43	Spectrogram 1	1	2019/2/4  6:13:36.1673	5766.167313665	5768.701464596	32.300	73.500	D
44	Spectrogram 1	1	2019/2/4  6:13:40.1921	5770.192141615	5772.651758696	33.300	90.500	D
45	Spectrogram 1	1	2019/2/4  6:13:46.5275	5776.527518944	5778.614466770	31.200	81.500	D
46	Spectrogram 1	1	2019/2/4  6:17:00.9127	5970.912702174	5973.744988509	22.800	54.500	D
47	Spectrogram 1	1	2019/2/4  6:19:45.6334	6135.633412733	6139.061969876	53.400	89.900	D
48	Spectrogram 1	1	2019/2/4  6:20:20.5898	6170.589788820	6173.794744410	24.300	65.600	D
49	Spectrogram 1	1	2019/2/4  6:20:31.1736	6181.173595652	6183.856814286	25.900	53.400	D
50	Spectrogram 1	1	2019/2/4  6:20:42.0555	6192.055537888	6194.440621118	22.800	56.100	D
51	Spectrogram 1	1	2019/2/4  6:38:52.3412	7282.341209317	7285.098961801	57.700	84.100	D
52	Spectrogram 1	1	2019/2/4  6:37:55.5464	7225.546414907	7230.167513665	19.600	27.500	Antarctic
53	Spectrogram 1	1	2019/2/4  6:43:36.6892	7566.689200621	7574.291653416	19.000	30.700	Antarctic
54	Spectrogram 1	1	2019/2/4  6:44:48.6148	7638.614816770	7645.099261801	19.000	30.200	Antarctic
55	Spectrogram 1	1	2019/2/4  6:45:31.6954	7681.695382609	7683.782330435	40.700	75.700	D
56	Spectrogram 1	1	2019/2/4  6:45:43.2481	7693.248129503	7695.856814286	32.800	70.900	D
57	Spectrogram 1	1	2019/2/4  6:45:58.8257	7708.825704348	7712.328795342	36.500	80.400	D
58	Spectrogram 1	1	2019/2/4  6:48:20.8136	7850.813590373	7860.950194099	20.100	28.600	Antarctic
59	Spectrogram 1	1	2019/2/4  6:50:39.5961	7989.596070807	7992.204755590	35.400	82.500	D
60	Spectrogram 1	1	2019/2/4  7:04:37.9004	8827.900388199	8836.024577950	18.000	31.700	Antarctic
61	Spectrogram 1	1	2019/2/4  7:09:37.0806	9127.080615839	9135.502940994	21.200	29.100	Antarctic
62	Spectrogram 1	1	2019/2/4  7:10:46.9934	9196.993368012	9205.639294720	19.600	30.200	Antarctic
63	Spectrogram 1	1	2019/2/4  7:12:00.0370	9270.036991925	9279.800926398	19.600	29.600	Antarctic
64	Spectrogram 1	1	2019/2/4  7:16:15.9871	9525.987136025	9532.844250311	20.100	29.600	Antarctic
65	Spectrogram 1	1	2019/2/4  7:16:37.0807	9547.080665839	9552.521636957	31.200	74.100	D
66	Spectrogram 1	1	2019/2/4  7:16:44.5341	9554.534050932	9558.484345031	22.800	76.200	D
67	Spectrogram 1	1	2019/2/4  7:16:49.6769	9559.676886646	9563.478113043	59.800	82.000	D
68	Spectrogram 1	1	2019/2/4  7:17:01.0806	9571.080565839	9575.627130745	30.700	77.200	D
69	Spectrogram 1	1	2019/2/4  7:17:11.7389	9581.738906522	9585.391065217	48.100	76.200	D
70	Spectrogram 1	1	2019/2/4  7:20:59.0681	9809.068051863	9811.825804348	37.000	76.200	D
71	Spectrogram 1	1	2019/2/4  7:21:17.0307	9827.030709938	9829.117657764	41.800	79.900	D
72	Spectrogram 1	1	2019/2/4  7:22:55.1922	9925.192241615	9938.384733230	18.500	29.600	Antarctic
73	Spectrogram 1	1	2019/2/4  7:24:01.3042	9991.304217391	10001.068151863	20.600	28.600	Antarctic
74	Spectrogram 1	1	2019/2/4  7:25:04.8071	10054.807058385	10070.682768634	19.000	29.600	Antarctic
75	Spectrogram 1	1	2019/2/4  7:27:26.4223	10196.422275155	10214.459467081	19.000	30.200	Antarctic
76	Spectrogram 1	1	2019/2/4  7:28:30.6705	10260.670454658	10270.359855280	19.600	31.200	Antarctic
77	Spectrogram 1	1	2019/2/4  7:29:56.9811	10346.981104037	10353.018345963	16.900	31.200	Antarctic
78	Spectrogram 1	1	2019/2/4  7:30:10.0245	10360.024527950	10363.751220497	30.200	70.900	D
79	Spectrogram 1	1	2019/2/4  7:31:46.3972	10456.397247205	10460.273007453	36.500	87.800	D
80	Spectrogram 1	1	2019/2/4  7:32:04.8816	10474.881642236	10484.198373602	18.500	31.700	Antarctic
81	Spectrogram 1	1	2019/2/4  7:32:54.8198	10524.819772360	10527.204855590	42.900	98.400	D
82	Spectrogram 1	1	2019/2/4  7:33:13.8259	10543.825904348	10545.912852174	31.700	64.600	D
83	Spectrogram 1	1	2019/2/4  7:33:16.9563	10546.956326087	10555.676786646	18.500	29.100	Antarctic
84	Spectrogram 1	1	2019/2/4  7:34:31.1180	10621.117957764	10623.875710248	58.200	86.800	D
85	Spectrogram 1	1	2019/2/4  7:34:28.2857	10618.285671429	10627.378801242	21.200	28.000	Antarctic
86	Spectrogram 1	1	2019/2/4  7:35:38.6456	10688.645626708	10697.962358075	19.600	32.800	Antarctic
87	Spectrogram 1	1	2019/2/4  7:36:45.6520	10755.652008696	10765.639544720	18.500	31.700	Antarctic
88	Spectrogram 1	1	2019/2/4  7:37:17.4034	10787.403429193	10789.788512422	24.300	80.400	D
89	Spectrogram 1	1	2019/2/4  7:37:22.1736	10792.173595652	10796.943762112	20.600	64.000	D
90	Spectrogram 1	1	2019/2/4  7:37:43.3412	10813.341209317	10815.353623292	44.400	82.500	D
91	Spectrogram 1	1	2019/2/4  7:39:11.6643	10901.664272671	10909.490327019	18.500	29.100	Antarctic
92	Spectrogram 1	1	2019/2/4  7:39:59.5900	10949.589988820	10967.701714596	21.200	32.300	Antarctic
93	Spectrogram 1	1	2019/2/4  7:41:01.1549	11011.154949689	11022.782230435	20.100	32.300	Antarctic
94	Spectrogram 1	1	2019/2/4  7:41:32.0865	11042.086497826	11046.856664286	54.000	90.500	D
95	Spectrogram 1	1	2019/2/4  7:48:08.1612	11438.161181677	11446.583506832	19.600	30.200	Antarctic
