Selection	View	Channel	Begin Date Time	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Call Type
1	Spectrogram 1	1	2019/2/4  22:41:10.6270	1420.627030745	1428.453085093	20.600	30.200	Antarctic
2	Spectrogram 1	1	2019/2/4  22:46:30.4531	1740.453135093	1747.086647826	20.600	28.600	Antarctic
4	Spectrogram 1	1	2019/2/4  22:47:37.9067	1807.906720186	1815.061969876	20.000	30.500	Antarctic
5	Spectrogram 1	1	2019/2/4  22:48:44.4654	1874.465449068	1884.303917391	20.500	29.500	Antarctic
6	Spectrogram 1	1	2019/2/4  22:49:41.9315	1931.931498137	1939.459417081	19.500	28.500	Antarctic
7	Spectrogram 1	1	2019/2/4  22:49:59.1488	1949.148817702	1954.142585714	21.000	30.500	Antarctic
8	Spectrogram 1	1	2019/2/4  22:52:37.1615	2107.161481677	2116.254611491	20.000	30.000	Antarctic
9	Spectrogram 1	1	2019/2/4  22:53:47.8941	2177.894106211	2188.328845342	20.000	28.000	Antarctic
10	Spectrogram 1	1	2019/2/4  22:56:12.8629	2322.862896273	2330.763484472	19.000	30.000	Antarctic
11	Spectrogram 1	1	2019/2/4  22:56:42.3042	2352.304217391	2355.211037578	44.000	93.500	D
12	Spectrogram 1	1	2019/2/4  22:57:24.7140	2394.713978571	2402.763634472	19.500	31.000	Antarctic
13	Spectrogram 1	1	2019/2/4  22:59:45.2107	2535.210737578	2542.738656522	19.500	31.000	Antarctic
14	Spectrogram 1	1	2019/2/4  23:15:30.9003	3480.900288199	3491.782230435	21.000	29.500	Antarctic
15	Spectrogram 1	1	2019/2/4  23:28:39.7702	4269.770166460	4282.813590373	19.000	30.000	Antarctic
16	Spectrogram 1	1	2019/2/4  23:29:50.5028	4340.502790994	4349.744988509	19.500	31.500	Antarctic
17	Spectrogram 1	1	2019/2/4  23:38:35.3538	4640.353823292	4649.223351553	34.000	67.000	D
18	Spectrogram 1	1	2019/2/4  23:39:27.3039	4692.303917391	4695.807008385	31.500	77.500	D
19	Spectrogram 1	1	2019/2/4  23:39:29.9126	4694.912602174	4704.080265839	20.000	28.000	Antarctic
20	Spectrogram 1	1	2019/2/4  23:41:44.9688	4829.968840062	4833.322863354	33.000	74.000	D
21	Spectrogram 1	1	2019/2/4  23:41:50.7825	4835.782480435	4839.061969876	34.500	85.500	D
22	Spectrogram 1	1	2019/2/4  23:41:56.2235	4841.223451553	4844.279339441	39.000	85.500	D
23	Spectrogram 1	1	2019/2/4  23:42:56.5959	4901.595870807	4907.334977329	32.000	67.000	D
24	Spectrogram 1	1	2019/2/4  23:41:23.5031	4808.503090994	4811.558978882	38.500	86.500	D
25	Spectrogram 1	1	2019/2/4  23:41:25.8136	4810.813640373	4822.291853416	18.000	31.000	Antarctic
26	Spectrogram 1	1	2019/2/4  23:41:53.4657	4838.465699068	4845.770016460	19.500	28.500	Antarctic
27	Spectrogram 1	1	2019/2/4  23:42:17.0184	4862.018395963	4871.558728882	13.000	31.000	Antarctic
