Selection	View	Channel	Begin Date Time	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Call Type
1	Spectrogram 1	1	2019/2/4  1:17:09.2050	3804.204955590	3807.633512733	40.7	79.6	D
2	Spectrogram 1	1	2019/2/4  1:20:38.4965	4013.496459006	4016.477813043	33.9	83.3	D
3	Spectrogram 1	1	2019/2/4  1:24:37.7515	4252.751470497	4256.030959938	31.1	80.0	D
4	Spectrogram 1	1	2019/2/4  1:25:05.7017	4280.701664596	4283.310349379	34.4	81.7	D
5	Spectrogram 1	1	2019/2/4  1:25:17.3289	4292.328945342	4295.161231677	26.7	76.7	D
6	Spectrogram 1	1	2019/2/4  1:25:42.1487	4317.148717702	4323.931298137	20.0	29.4	Antarctic
7	Spectrogram 1	1	2019/2/4  1:33:00.7077	4755.707696584	4758.018245963	22.2	59.4	D
8	Spectrogram 1	1	2019/2/4  1:33:31.8633	4786.863296273	4792.453335093	22.2	28.9	Antarctic
9	Spectrogram 1	1	2019/2/4  1:39:19.0433	5134.043323913	5136.875610248	32.8	68.3	D
10	Spectrogram 1	1	2019/2/4  1:42:56.3849	5351.384933230	5356.974972050	16.7	31.1	Antarctic
12	Spectrogram 1	1	2019/2/4  1:45:10.3972	5485.397247205	5487.931398137	39.8	80.7	D
11	Spectrogram 1	1	2019/2/4  1:45:31.4903	5506.490327019	5513.123839752	20.5	28.4	Antarctic
13	Spectrogram 1	1	2019/2/4  1:47:20.3102	5615.310199379	5618.664222671	29.5	77.8	Antarctic
14	Spectrogram 1	1	2019/2/4  1:47:50.3478	5645.347791304	5648.254611491	46.0	92.6	D
15	Spectrogram 1	1	2019/2/4  1:49:30.4468	5745.446753106	5749.024377950	33.5	80.1	D
16	Spectrogram 1	1	2019/2/4  1:49:53.1055	5768.105493789	5777.869428261	17.0	29.5	Antarctic
17	Spectrogram 1	1	2019/2/4  1:55:31.0433	6106.043323913	6116.030859938	18.2	29.0	Antarctic
18	Spectrogram 1	1	2019/2/4  2:00:09.3536	6384.353623292	6394.862896273	21.6	30.1	Antarctic
19	Spectrogram 1	1	2019/2/4  2:01:19.6395	6454.639494720	6461.496609006	19.9	30.1	Antarctic
20	Spectrogram 1	1	2019/2/4  2:01:35.0680	6470.068001863	6478.117657764	21.0	30.7	Antarctic
22	Spectrogram 1	1	2019/2/4  2:02:40.8818	6535.881842236	6541.695482609	55.1	85.8	D
21	Spectrogram 1	1	2019/2/4  2:02:45.7265	6540.726542547	6551.310349379	20.5	29.5	Antarctic
23	Spectrogram 1	1	2019/2/4  2:04:03.0931	6618.093129814	6625.024777950	21.0	30.1	Antarctic
24	Spectrogram 1	1	2019/2/4  2:06:34.9936	6769.993568012	6783.260593478	19.3	28.4	Antarctic
25	Spectrogram 1	1	2019/2/4  2:07:38.3477	6833.347741304	6841.397397205	20.5	30.7	Antarctic
26	Spectrogram 1	1	2019/2/4  2:08:31.9376	6886.937580124	6889.918934161	42.6	77.3	D
27	Spectrogram 1	1	2019/2/4  2:13:09.0558	7164.055787888	7175.534000932	17.0	33.5	Antarctic
28	Spectrogram 1	1	2019/2/4  2:17:46.6207	7441.620748758	7446.838118323	20.5	30.7	Antarctic
29	Spectrogram 1	1	2019/2/4  2:18:25.0061	7480.006131988	7483.434689130	31.3	72.7	D
30	Spectrogram 1	1	2019/2/4  2:21:32.0865	7667.086547826	7673.123789752	18.2	28.4	Antarctic
31	Spectrogram 1	1	2019/2/4  2:22:38.8693	7733.869328261	7736.105343789	25.0	64.2	D
32	Spectrogram 1	1	2019/2/4  2:25:10.0990	7885.098961801	7894.937430124	17.0	29.0	Antarctic
33	Spectrogram 1	1	2019/2/4  2:27:21.8757	8016.875710248	8027.161381677	17.6	31.3	Antarctic
34	Spectrogram 1	1	2019/2/4  2:28:10.0246	8065.024577950	8070.689150621	13.6	30.1	Antarctic
35	Spectrogram 1	1	2019/2/4  2:28:20.2357	8075.235715528	8080.229483540	19.3	79.5	D
36	Spectrogram 1	1	2019/2/4  2:35:04.7327	8479.732724534	8482.043273913	31.3	68.2	D
37	Spectrogram 1	1	2019/2/4  2:36:12.7080	8547.708046584	8557.770116460	18.2	40.9	Antarctic
38	Spectrogram 1	1	2019/2/4  2:38:01.0062	8656.006181988	8666.589988820	18.8	28.4	Antarctic
39	Spectrogram 1	1	2019/2/4  2:38:31.1924	8686.192391615	8690.291753416	23.9	79.0	D
40	Spectrogram 1	1	2019/2/4  2:38:57.5774	8712.577374845	8720.925166149	19.9	29.5	Antarctic
41	Spectrogram 1	1	2019/2/4  2:43:48.2607	9003.260743478	9006.465699068	23.9	81.3	D
42	Spectrogram 1	1	2019/2/4  2:45:05.0306	9080.030609938	9084.204505590	23.3	84.1	D
43	Spectrogram 1	1	2019/2/4  2:50:47.4409	9422.440921118	9428.776298447	20.5	31.3	Antarctic
44	Spectrogram 1	1	2019/2/4  2:59:46.4720	9961.471981056	9964.080665839	48.9	78.4	D
45	Spectrogram 1	1	2019/2/4  2:59:52.2111	9967.211087578	9969.968840062	31.8	65.3	D
46	Spectrogram 1	1	2019/2/4  3:04:27.6891	10242.689100621	10248.875410248	17.6	29.0	Antarctic
47	Spectrogram 1	1	2019/2/4  3:05:33.9501	10308.950144099	10312.378701242	39.8	86.4	D
48	Spectrogram 1	1	2019/2/4  3:07:15.6148	10410.614766770	10418.888024224	17.0	30.7	Antarctic
49	Spectrogram 1	1	2019/2/4  3:09:24.0370	10539.037041925	10541.869328261	30.1	72.2	Antarctic
50	Spectrogram 1	1	2019/2/4  3:16:36.9314	10971.931448137	10979.682968634	20.5	30.7	Antarctic
51	Spectrogram 1	1	2019/2/4  3:19:52.1365	11167.136503727	11175.856964286	17.0	29.5	Antarctic
52	Spectrogram 1	1	2019/2/4  3:33:56.4596	12011.459567081	12014.888124224	56.8	69.9	D
53	Spectrogram 1	1	2019/2/4  3:34:02.4223	12017.422275155	12020.925366149	57.4	70.5	D
54	Spectrogram 1	1	2019/2/4  3:42:40.9561	12535.956076087	12538.937430124	50.0	77.3	D
55	Spectrogram 1	1	2019/2/4  3:45:23.6644	12698.664372671	12701.943862112	29.5	83.5	D
56	Spectrogram 1	1	2019/2/4  3:45:30.3724	12705.372419255	12707.384833230	48.3	81.8	D
