Selection	View	Channel	Begin Date Time	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Call Type
1	Spectrogram 1	1	2019/2/6  6:48:30.2608	2310.260793478	2314.732824534	23.0	28.1	
2	Spectrogram 1	1	2019/2/6  6:49:36.3723	2376.372319255	2384.496509006	21.4	29.6	Antarctic
3	Spectrogram 1	1	2019/2/6  6:50:43.3787	2443.378701242	2450.906620186	21.9	28.6	Antarctic
4	Spectrogram 1	1	2019/2/6  6:51:52.3975	2512.397497205	2521.416093168	20.9	28.6	Antarctic
5	Spectrogram 1	1	2019/2/6  7:00:00.3724	3000.372419255	3007.378601242	21.9	28.1	Antarctic
6	Spectrogram 1	1	2019/2/6  7:02:06.4841	3126.484145031	3134.608334783	20.9	30.1	Antarctic
7	Spectrogram 1	1	2019/2/6  7:02:53.9627	3173.962658075	3183.428457143	18.9	29.6	Antarctic
8	Spectrogram 1	1	2019/2/6  7:04:06.1860	3246.185959627	3254.086547826	20.4	30.1	Antarctic
9	Spectrogram 1	1	2019/2/6  7:05:17.4408	3317.440771118	3327.055637888	14.8	29.1	Antarctic
10	Spectrogram 1	1	2019/2/6  7:08:29.9626	3509.962608075	3512.347691304	50.0	88.3	D
11	Spectrogram 1	1	2019/2/6  7:26:34.7328	4594.732774534	4604.571242857	14.3	20.9	Antarctic
12	Spectrogram 1	1	2019/2/6  7:59:28.8755	6568.875510248	6576.254361491	18.9	28.6	Antarctic
13	Spectrogram 1	1	2019/2/6  8:45:26.7577	9326.757702484	9329.217319565	53.1	86.2	D
14	Spectrogram 1	1	2019/2/6  9:05:44.8694	10544.869378261	10546.509122981	50.0	82.1	D
15	Spectrogram 1	1	2019/2/6  9:11:26.6830	10886.682968634	10888.546314907	51.5	87.2	D
16	Spectrogram 1	1	2019/2/6  9:15:49.4907	11149.490677019	11152.397497205	50.0	82.1	D
17	Spectrogram 1	1	2019/2/6  9:15:48.5217	11148.521736957	11157.242197516	19.4	29.6	Antarctic
18	Spectrogram 1	1	2019/2/6  9:22:28.0430	11473.043023913	11474.980904037	50.5	99.0	D
19	Spectrogram 1	1	2019/2/6  9:22:30.8008	11475.800776398	11477.813190373	49.5	92.3	D
20	Spectrogram 1	1	2019/2/6  9:23:01.2856	11506.285571429	11507.552646894	53.6	96.4	D
21	Spectrogram 1	1	2019/2/6  9:28:53.0122	11858.012163975	11865.540082919	20.4	30.1	Antarctic
22	Spectrogram 1	1	2019/2/6  9:41:15.1489	12600.148867702	12602.608484783	51.0	81.1	D
23	Spectrogram 1	1	2019/2/6  9:47:26.5524	12971.552396894	12978.036841925	21.4	30.1	Antarctic
24	Spectrogram 1	1	2019/2/6  9:53:12.0927	13317.092679814	13319.105093789	37.8	90.8	D
25	Spectrogram 1	1	2019/2/6  9:52:55.6207	13300.620698758	13302.409511180	71.9	98.0	D
26	Spectrogram 1	1	2019/2/6  9:53:15.9999	13319.999950000	13321.639694720	38.8	84.7	D
27	Spectrogram 1	1	2019/2/6  9:53:28.0434	13333.043373913	13334.534050932	56.1	94.4	D
28	Spectrogram 1	1	2019/2/6  9:54:28.0431	13393.043123913	13396.695282609	47.4	84.2	D
29	Spectrogram 1	1	2019/2/6  9:54:22.3786	13387.378551242	13388.794694410	50.5	97.4	D
30	Spectrogram 1	1	2019/2/6  9:54:14.0308	13379.030759938	13381.564910870	51.0	86.7	D
31	Spectrogram 1	1	2019/2/6  9:53:56.0681	13361.068101863	13364.273057453	58.7	93.9	D
32	Spectrogram 1	1	2019/2/6  9:53:48.5402	13353.540182919	13355.850732298	53.6	79.1	D
33	Spectrogram 1	1	2019/2/6  9:57:19.0992	13564.099211801	13573.863146273	18.4	31.1	Antarctic
34	Spectrogram 1	1	2019/2/6  10:03:58.7515	13963.751520497	13966.062069876	29.1	73.0	D
35	Spectrogram 1	1	2019/2/6  10:04:03.7453	13968.745288509	13971.055837888	28.6	65.8	D
36	Spectrogram 1	1	2019/2/6  10:04:10.9005	13975.900538199	13977.912952174	26.5	65.8	D
37	Spectrogram 1	1	2019/2/6  10:08:18.0557	14223.055687888	14231.925216149	19.4	30.1	Antarctic
38	Spectrogram 1	1	2019/2/6  10:17:46.5276	14791.527618944	14798.682868634	20.9	31.1	Antarctic
39	Spectrogram 1	1	2019/2/6  10:20:04.4157	14929.415693168	14933.738656522	44.4	79.6	D
40	Spectrogram 1	1	2019/2/6  10:23:02.1798	15107.179827640	15108.372369255	46.4	90.3	D
41	Spectrogram 1	1	2019/2/6  10:25:02.3288	15227.328845342	15231.651808696	39.3	79.1	D
42	Spectrogram 1	1	2019/2/6  10:33:26.1799	15731.179927640	15737.142635714	19.4	30.1	Antarctic
43	Spectrogram 1	1	2019/2/6  10:54:27.5217	16992.521686957	17000.720410559	21.4	28.1	Antarctic
44	Spectrogram 1	1	2019/2/6  10:55:40.0431	17065.043123913	17076.372269255	18.9	28.6	Antarctic
45	Spectrogram 1	1	2019/2/6  11:00:36.5401	17361.540132919	17364.819622360	31.1	83.2	D
