Selection	View	Channel	Begin Date Time	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Call Type
1	Spectrogram 1	1	2019/2/4  17:54:05.4968	20.496809006	38.235865528	19.9	30.7	Antarctic
2	Spectrogram 1	1	2019/2/4  17:55:28.0058	103.005781988	105.018195963	31.3	84.1	D
3	Spectrogram 1	1	2019/2/4  17:57:10.5648	205.564810870	208.620698758	60.8	96.0	D
4	Spectrogram 1	1	2019/2/4  17:57:04.1549	199.154899689	203.850532298	36.9	89.8	D
5	Spectrogram 1	1	2019/2/4  17:56:57.2978	192.297785404	196.024477950	23.3	75.6	D
6	Spectrogram 1	1	2019/2/4  17:56:34.8631	169.863096273	178.583556832	18.8	29.0	Antarctic
7	Spectrogram 1	1	2019/2/4  17:57:43.5092	238.509222981	247.975022050	19.3	30.7	Antarctic
8	Spectrogram 1	1	2019/2/4  17:58:36.7264	291.726392547	297.614566770	20.5	31.8	Antarctic
9	Spectrogram 1	1	2019/2/4  17:58:50.4406	305.440621118	319.825654348	17.0	30.7	Antarctic
10	Spectrogram 1	1	2019/2/4  17:59:03.1114	318.111375776	323.328745342	25.0	71.6	D
11	Spectrogram 1	1	2019/2/4  18:00:00.6520	375.651958696	386.906570186	17.0	31.3	Antarctic
12	Spectrogram 1	1	2019/2/4  18:02:02.1426	497.142585714	501.465549068	44.3	99.4	D
13	Spectrogram 1	1	2019/2/4  18:02:10.6394	505.639444720	509.291603416	51.7	88.1	D
14	Spectrogram 1	1	2019/2/4  18:04:44.0310	659.031009938	663.577574845	23.9	83.0	D
15	Spectrogram 1	1	2019/2/4  18:04:56.0310	671.030959938	679.825954348	34.7	86.4	D
16	Spectrogram 1	1	2019/2/4  18:05:07.8073	682.807308385	694.061919876	20.5	29.5	Antarctic
17	Spectrogram 1	1	2019/2/4  18:05:53.9438	728.943762112	734.981004037	43.8	96.0	D
18	Spectrogram 1	1	2019/2/4  18:06:20.0306	755.030609938	765.539882919	19.3	32.4	Antarctic
19	Spectrogram 1	1	2019/2/4  18:06:49.3229	784.322863354	793.639594720	19.9	32.4	Antarctic
20	Spectrogram 1	1	2019/2/4  18:06:30.0931	765.093129814	768.670754658	34.7	88.6	D
21	Spectrogram 1	1	2019/2/4  18:06:34.4906	769.490627019	773.068251863	48.9	89.8	D
22	Spectrogram 1	1	2019/2/4  18:13:30.3163	1185.316331366	1195.825604348	18.2	30.1	Antarctic
23	Spectrogram 1	1	2019/2/4  18:12:42.3165	1137.316531366	1144.099111801	18.2	31.3	Antarctic
24	Spectrogram 1	1	2019/2/4  18:13:52.9751	1207.975072050	1217.813540373	20.5	31.8	Antarctic
25	Spectrogram 1	1	2019/2/4  18:14:18.9874	1233.987386025	1243.527718944	18.2	30.7	Antarctic
26	Spectrogram 1	1	2019/2/4  18:13:37.8447	1192.844700311	1196.347791304	57.4	86.9	D
27	Spectrogram 1	1	2019/2/4  18:13:58.5651	1213.565110870	1216.919134161	64.2	93.8	D
28	Spectrogram 1	1	2019/2/4  18:14:03.4098	1218.409811180	1222.360105280	48.9	92.6	D
29	Spectrogram 1	1	2019/2/4  18:16:00.5029	1335.502940994	1345.117807764	18.8	30.7	Antarctic
30	Spectrogram 1	1	2019/2/4  18:16:13.3228	1348.322763354	1356.297885404	16.5	30.7	Antarctic
31	Spectrogram 1	1	2019/2/4  18:16:43.5090	1378.508972981	1386.111425776	17.6	33.0	Antarctic
32	Spectrogram 1	1	2019/2/4  18:17:25.2484	1420.248379503	1426.658290683	33.5	94.9	D
33	Spectrogram 1	1	2019/2/4  18:17:34.3415	1429.341509317	1434.484345031	34.1	94.3	D
34	Spectrogram 1	1	2019/2/4  18:18:24.9500	1479.949994099	1482.707746584	39.2	89.8	D
35	Spectrogram 1	1	2019/2/4  18:18:59.6082	1514.608234783	1518.409461180	48.3	84.1	D
36	Spectrogram 1	1	2019/2/4  18:18:06.1675	1461.167463665	1463.403479193	50.6	101.1	D
37	Spectrogram 1	1	2019/2/4  18:18:08.1799	1463.179877640	1465.117757764	44.3	93.2	D
38	Spectrogram 1	1	2019/2/4  18:18:09.8942	1464.894156211	1466.682968634	33.0	83.0	D
39	Spectrogram 1	1	2019/2/4  18:18:10.7140	1465.714028571	1467.726442547	50.6	94.3	D
40	Spectrogram 1	1	2019/2/4  18:22:04.3786	1699.378551242	1715.105193789	19.9	29.0	Antarctic
41	Spectrogram 1	1	2019/2/4  18:22:14.5152	1709.515154969	1713.092779814	63.6	97.7	D
42	Spectrogram 1	1	2019/2/4  18:23:23.0867	1778.086747826	1795.602202795	19.3	31.3	Antarctic
43	Spectrogram 1	1	2019/2/4  18:24:03.8568	1818.856764286	1830.409511180	19.3	30.7	Antarctic
44	Spectrogram 1	1	2019/2/4  18:24:30.5711	1845.571142857	1849.968640062	33.5	67.6	D
45	Spectrogram 1	1	2019/2/4  18:24:58.4468	1873.446803106	1882.912602174	21.6	30.1	Antarctic
46	Spectrogram 1	1	2019/2/4  18:26:34.5214	1969.521386957	1970.639394720	38.6	75.6	40Hz
47	Spectrogram 1	1	2019/2/4  18:29:06.5713	2121.571342857	2128.353923292	21.0	30.1	Antarctic
48	Spectrogram 1	1	2019/2/4  18:35:15.2171	2490.217119565	2499.012113975	20.5	29.5	Antarctic
49	Spectrogram 1	1	2019/2/4  18:38:33.9253	2688.925266149	2698.316531366	13.6	31.8	Antarctic
50	Spectrogram 1	1	2019/2/4  18:40:57.8506	2832.850582298	2835.682868634	30.1	74.4	D
51	Spectrogram 1	1	2019/2/4  18:41:01.7263	2836.726342547	2843.434389130	19.9	30.1	Antarctic
52	Spectrogram 1	1	2019/2/4  18:41:51.8881	2886.888074224	2900.751370497	19.9	34.1	Antarctic
53	Spectrogram 1	1	2019/2/4  18:42:45.4034	2940.403379193	2949.645576708	19.9	29.0	Antarctic
54	Spectrogram 1	1	2019/2/4  18:44:01.2048	3016.204755590	3023.210937578	17.6	30.7	Antarctic
55	Spectrogram 1	1	2019/2/4  18:44:49.0555	3064.055487888	3073.968490062	19.3	30.1	Antarctic
56	Spectrogram 1	1	2019/2/4  18:44:38.6953	3053.695282609	3057.720110559	39.8	85.2	D
58	Spectrogram 1	1	2019/2/4  18:45:32.7328	3107.732774534	3114.813490373	19.3	31.8	Antarctic
59	Spectrogram 1	1	2019/2/4  18:47:00.0869	3195.086897826	3202.093079814	21.6	75.6	D
60	Spectrogram 1	1	2019/2/4  18:46:02.8445	3137.844450311	3154.838168323	17.0	31.8	Antarctic
61	Spectrogram 1	1	2019/2/4  18:46:47.1921	3182.192091615	3191.732424534	15.3	29.5	Antarctic
62	Spectrogram 1	1	2019/2/4  18:52:23.7888	3518.788762422	3520.801176398	38.1	77.8	D
63	Spectrogram 1	1	2019/2/4  18:53:34.5214	3589.521386957	3591.608334783	44.9	94.9	D
64	Spectrogram 1	1	2019/2/4  18:55:58.8198	3733.819822360	3736.950244099	27.8	84.7	D
65	Spectrogram 1	1	2019/2/4  18:59:01.8009	3916.800876398	3919.484095031	57.4	86.4	D
66	Spectrogram 1	1	2019/2/4  18:59:04.2605	3919.260493478	3921.123839752	56.3	84.1	D
67	Spectrogram 1	1	2019/2/4  18:59:07.3164	3922.316381366	3924.477863043	60.8	86.9	D
68	Spectrogram 1	1	2019/2/4  19:05:41.3041	4316.304117391	4318.987336025	33.0	83.5	D
69	Spectrogram 1	1	2019/2/4  19:05:44.6581	4319.658140683	4322.564960870	43.2	92.6	D
70	Spectrogram 1	1	2019/2/4  19:06:24.0120	4359.012013975	4362.291503416	36.9	91.5	D
71	Spectrogram 1	1	2019/2/4  19:08:44.1366	4499.136553727	4501.596170807	52.3	93.2	D
72	Spectrogram 1	1	2019/2/4  19:08:56.4346	4511.434639130	4515.235865528	42.6	96.6	D
73	Spectrogram 1	1	2019/2/4  19:10:55.1675	4630.167513665	4633.894206211	47.2	90.9	D
74	Spectrogram 1	1	2019/2/4  19:11:11.7140	4646.714028571	4651.111525776	52.3	93.8	D
75	Spectrogram 1	1	2019/2/4  19:11:28.0369	4663.036941925	4666.465499068	31.3	72.7	D
76	Spectrogram 1	1	2019/2/4  19:26:24.2360	5559.236015528	5561.844700311	30.7	80.1	D
77	Spectrogram 1	1	2019/2/4  19:26:34.5962	5569.596220807	5572.577574845	35.2	80.1	D
78	Spectrogram 1	1	2019/2/4  19:35:33.0310	6108.031009938	6110.639694720	17.0	55.7	D
79	Spectrogram 1	1	2019/2/4  19:35:37.4285	6112.428507143	6116.304267391	17.6	59.1	D
80	Spectrogram 1	1	2019/2/4  19:38:36.6829	6291.682868634	6296.751170497	23.3	73.9	D
81	Spectrogram 1	1	2019/2/4  19:40:12.9065	6387.906520186	6394.540032919	18.8	30.1	Antarctic
82	Spectrogram 1	1	2019/2/4  19:42:27.8132	6522.813240373	6527.508872981	40.9	83.0	D
83	Spectrogram 1	1	2019/2/4  19:40:44.2107	6419.210737578	6427.633062733	19.9	30.1	Antarctic
84	Spectrogram 1	1	2019/2/4  19:41:19.8384	6454.838368323	6462.589888820	18.2	30.1	Antarctic
85	Spectrogram 1	1	2019/2/4  19:44:01.0555	6616.055537888	6620.378501242	11.9	30.1	D
86	Spectrogram 1	1	2019/2/4  19:44:08.4344	6623.434389130	6628.875360248	11.4	30.7	D
87	Spectrogram 1	1	2019/2/4  19:44:39.2173	6654.217319565	6668.229683540	19.9	29.5	Antarctic
88	Spectrogram 1	1	2019/2/4  19:47:46.2232	6841.223201553	6845.397097205	30.7	82.4	D
89	Spectrogram 1	1	2019/2/4  19:50:31.6147	7006.614716770	7015.260643478	17.6	29.5	Antarctic
90	Spectrogram 1	1	2019/2/4  19:50:44.0619	7019.061869876	7024.279239441	27.3	77.3	D
91	Spectrogram 1	1	2019/2/4  19:51:21.9996	7056.999600000	7067.285271429	17.0	31.3	Antarctic
92	Spectrogram 1	1	2019/2/4  19:57:14.7701	7409.770116460	7414.093079814	29.0	75.0	D
93	Spectrogram 1	1	2019/2/4  19:57:29.8260	7424.825954348	7435.633362733	18.8	31.3	Antarctic
94	Spectrogram 1	1	2019/2/4  19:58:23.8630	7478.862996273	7481.844350311	56.3	82.4	D
95	Spectrogram 1	1	2019/2/4  20:01:05.3788	7640.378751242	7652.006031988	12.5	30.1	Antarctic
96	Spectrogram 1	1	2019/2/4  20:01:20.8073	7655.807258385	7662.962508075	27.8	79.5	D
97	Spectrogram 1	1	2019/2/4  20:01:45.1053	7680.105293789	7687.633212733	12.5	33.0	Antarctic
98	Spectrogram 1	1	2019/2/4  20:02:01.3537	7696.353673292	7702.465449068	28.4	75.0	D
99	Spectrogram 1	1	2019/2/4  20:02:05.3785	7700.378501242	7704.254261491	25.6	73.3	D
100	Spectrogram 1	1	2019/2/4  20:02:26.6206	7721.620648758	7727.881492236	19.3	30.1	Antarctic
101	Spectrogram 1	1	2019/2/4  20:04:07.9126	7822.912602174	7830.365987267	19.9	30.1	Antarctic
102	Spectrogram 1	1	2019/2/4  20:04:36.0868	7851.086847826	7856.676886646	15.9	30.1	Antarctic
103	Spectrogram 1	1	2019/2/4  20:04:43.1676	7858.167563665	7865.695482609	31.3	80.7	D
104	Spectrogram 1	1	2019/2/4  20:05:08.3600	7883.360005280	7886.192291615	9.1	30.1	20Hz
105	Spectrogram 1	1	2019/2/4  20:05:10.5960	7885.596020807	7887.981104037	9.7	25.6	20Hz
106	Spectrogram 1	1	2019/2/4  20:09:54.6459	8169.645876708	8180.751420497	19.3	30.7	Antarctic
107	Spectrogram 1	1	2019/2/4  20:09:31.9871	8146.987136025	8151.161031677	36.4	74.4	D
108	Spectrogram 1	1	2019/2/4  20:12:29.7513	8324.751270497	8329.670504658	26.7	73.9	D
109	Spectrogram 1	1	2019/2/4  20:12:24.4594	8319.459367081	8322.887924224	15.9	31.3	20Hz
110	Spectrogram 1	1	2019/2/4  20:28:30.8693	9285.869328261	9292.130171739	18.8	29.5	Antarctic
111	Spectrogram 1	1	2019/2/4  20:28:44.9562	9299.956226087	9304.949994099	14.2	36.9	D
112	Spectrogram 1	1	2019/2/4  20:28:53.9748	9308.974822050	9314.341259317	13.1	33.0	D
113	Spectrogram 1	1	2019/2/4  20:29:01.2791	9316.279139441	9319.856764286	33.5	76.7	D
