Selection	View	Channel	Begin Date Time	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Call Type
1	Spectrogram 1	1	2019/2/6  0:23:52.1428	2182.142785714	2184.900538199	42.9	84.1	D
2	Spectrogram 1	1	2019/2/6  0:24:47.8196	2237.819572360	2241.620798758	28.6	72.5	D
3	Spectrogram 1	1	2019/2/6  0:25:27.8443	2277.844250311	2280.303867391	46.2	75.3	D
4	Spectrogram 1	1	2019/2/6  0:25:06.2294	2256.229433540	2257.943712112	40.7	68.1	D
5	Spectrogram 1	1	2019/2/6  0:27:35.9999	2404.999900000	2407.086847826	40.1	76.4	D
6	Spectrogram 1	1	2019/2/6  0:30:30.3785	2580.378501242	2582.614516770	25.8	72.0	D
7	Spectrogram 1	1	2019/2/6  0:34:56.1676	2846.167563665	2854.589888820	19.8	30.8	Antarctic
8	Spectrogram 1	1	2019/2/6  0:35:18.3041	2868.304117391	2870.689200621	37.4	79.7	D
10	Spectrogram 1	1	2019/2/6  1:21:05.0558	5540.055787888	5546.167563665	20.3	28.6	Antarctic
11	Spectrogram 1	1	2019/2/6  1:22:03.8630	5598.862996273	5605.794644410	19.8	28.6	Antarctic
12	Spectrogram 1	1	2019/2/6  1:23:07.2918	5662.291753416	5671.608484783	20.9	30.8	Antarctic
13	Spectrogram 1	1	2019/2/6  1:24:20.1863	5735.186309627	5744.130371739	20.9	29.7	Antarctic
14	Spectrogram 1	1	2019/2/6  1:25:26.2233	5801.223301553	5809.272957453	20.3	29.7	Antarctic
15	Spectrogram 1	1	2019/2/6  1:35:23.0931	6398.093079814	6406.664472671	18.7	29.7	Antarctic
16	Spectrogram 1	1	2019/2/6  1:40:15.4903	6690.490277019	6698.614466770	19.2	30.8	Antarctic
17	Spectrogram 1	1	2019/2/6  1:41:19.4408	6754.440771118	6763.384833230	21.4	27.5	Antarctic
18	Spectrogram 1	1	2019/2/6  1:42:18.0994	6813.099361801	6820.925416149	22.5	30.2	Antarctic
19	Spectrogram 1	1	2019/2/6  1:43:17.4283	6872.428307143	6878.391015217	13.2	29.1	Antarctic
20	Spectrogram 1	1	2019/2/6  2:02:55.8134	8050.813440373	8056.328945342	20.3	28.0	Antarctic
21	Spectrogram 1	1	2019/2/6  2:03:38.4468	8093.446803106	8100.602052795	20.3	32.4	Antarctic
22	Spectrogram 1	1	2019/2/6  2:04:00.7329	8115.732874534	8123.707996584	19.8	30.8	Antarctic
