Selection	View	Channel	Begin Date Time	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Call Type
1	Spectrogram 1	1	2019/2/3  3:01:06.2606	2916.260593478	2924.682918634	20.118	28.994	Antarctic
3	Spectrogram 1	1	2019/2/3  3:10:45.1552	3495.155199689	3498.434689130	16.000	31.429	Antarctic
4	Spectrogram 1	1	2019/2/3  3:16:20.7079	3830.707946584	3832.422225155	36.517	64.607	D
5	Spectrogram 1	1	2019/2/3  3:17:24.0617	3894.061719876	3897.043073913	34.831	66.854	D
6	Spectrogram 1	1	2019/2/3  3:18:06.2483	3936.248329503	3940.422225155	33.520	78.212	D
7	Spectrogram 1	1	2019/2/3  3:23:28.6086	4258.608584783	4259.652058696	32.961	72.626	40Hz
8	Spectrogram 1	1	2019/2/3  3:23:31.9626	4261.962608075	4265.987436025	31.285	73.184	D
9	Spectrogram 1	1	2019/2/3  3:24:31.2170	4321.217019565	4322.633162733	18.436	69.832	D
10	Spectrogram 1	1	2019/2/3  3:27:20.7824	4490.782430435	4493.242047516	61.538	90.533	D
11	Spectrogram 1	1	2019/2/3  3:27:32.4842	4502.484245031	4504.645726708	72.189	86.391	D
12	Spectrogram 1	1	2019/2/3  3:27:37.3289	4507.328945342	4509.341359317	71.598	97.633	D
13	Spectrogram 1	1	2019/2/3  3:27:42.9935	4512.993518012	4515.154999689	52.071	90.533	D
14	Spectrogram 1	1	2019/2/3  3:29:01.9253	4591.925316149	4594.384933230	31.953	74.556	D
15	Spectrogram 1	1	2019/2/3  3:32:47.9874	4817.987386025	4821.043273913	53.846	92.308	D
16	Spectrogram 1	1	2019/2/3  3:35:04.3848	4954.384783230	4956.397197205	42.012	76.331	D
18	Spectrogram 1	1	2019/2/3  3:38:38.2481	5168.248129503	5169.515204969	33.929	82.143	D
20	Spectrogram 1	1	2019/2/3  3:43:06.3167	5436.316681366	5443.099261801	19.595	27.703	Antarctic
21	Spectrogram 1	1	2019/2/3  3:44:09.6705	5499.670454658	5500.788462422	41.954	62.644	40Hz
22	Spectrogram 1	1	2019/2/3  3:45:27.9005	5577.900488199	5581.776248447	39.655	78.161	D
23	Spectrogram 1	1	2019/2/3  3:49:07.7265	5797.726542547	5800.335227329	26.437	70.690	D
24	Spectrogram 1	1	2019/2/3  3:49:33.5898	5823.589788820	5828.583556832	17.241	26.437	Antarctic
25	Spectrogram 1	1	2019/2/3  3:52:37.3043	6007.304317391	6013.490627019	19.540	29.310	Antarctic
26	Spectrogram 1	1	2019/2/3  3:55:04.7327	6154.732724534	6164.049455901	13.793	29.310	Antarctic
27	Spectrogram 1	1	2019/2/3  3:56:42.2980	6252.297985404	6255.055737888	26.437	72.989	D
28	Spectrogram 1	1	2019/2/3  4:05:31.3290	6781.328995342	6792.061869876	21.264	28.161	Antarctic
29	Spectrogram 1	1	2019/2/3  4:05:53.8382	6803.838218323	6805.254361491	41.954	81.034	D
30	Spectrogram 1	1	2019/2/3  4:05:55.1053	6805.105293789	6806.148767702	50.575	75.862	D
31	Spectrogram 1	1	2019/2/3  4:07:05.5403	6875.540282919	6885.975022050	14.943	28.736	Antarctic
32	Spectrogram 1	1	2019/2/3  4:08:19.3288	6949.328795342	6960.285271429	14.368	29.310	Antarctic
33	Spectrogram 1	1	2019/2/3  4:08:55.2546	6985.254561491	6988.235915528	39.080	85.057	D
34	Spectrogram 1	1	2019/2/3  4:09:35.5028	7025.502840994	7038.248129503	14.368	30.460	Antarctic
35	Spectrogram 1	1	2019/2/3  4:10:33.1180	7083.117957764	7090.422275155	13.873	28.902	Antarctic
36	Spectrogram 1	1	2019/2/3  4:10:56.8943	7106.894256211	7110.844550311	17.919	27.168	Antarctic
37	Spectrogram 1	1	2019/2/3  4:11:03.2296	7113.229633540	7116.658190683	35.450	79.769	D
38	Spectrogram 1	1	2019/2/3  4:14:36.2729	7326.272907453	7329.105193789	63.953	93.605	D
39	Spectrogram 1	1	2019/2/3  4:25:47.5897	7997.589738820	7999.080415839	43.605	70.930	D
40	Spectrogram 1	1	2019/2/3  4:25:51.3910	8001.390965217	8011.825704348	16.860	29.070	Antarctic
41	Spectrogram 1	1	2019/2/3  4:26:36.2608	8046.260793478	8049.763884472	21.176	28.824	Antarctic
42	Spectrogram 1	1	2019/2/3  4:26:47.0682	8057.068201863	8058.558878882	35.882	72.941	40Hz
43	Spectrogram 1	1	2019/2/3  4:27:23.3662	8093.366187267	8102.310249379	20.000	28.235	Antarctic
44	Spectrogram 1	1	2019/2/3  4:28:31.2670	8161.266975466	8169.987436025	15.294	27.647	Antarctic
45	Spectrogram 1	1	2019/2/3  4:29:42.3723	8232.372269255	8241.838068323	20.000	28.824	Antarctic
46	Spectrogram 1	1	2019/2/3  4:30:52.1364	8302.136403727	8311.005931988	16.471	27.647	Antarctic
47	Spectrogram 1	1	2019/2/3  4:31:39.4654	8349.465399068	8358.036791925	15.882	26.471	Antarctic
48	Spectrogram 1	1	2019/2/3  4:31:58.2484	8368.248379503	8370.409861180	31.765	67.059	D
49	Spectrogram 1	1	2019/2/3  4:31:59.7391	8369.739056522	8371.080665839	37.647	62.941	D
50	Spectrogram 1	1	2019/2/3  4:33:37.3043	8467.304317391	8470.583806832	20.000	30.000	Antarctic
51	Spectrogram 1	1	2019/2/3  4:35:15.2919	8565.291903416	8568.273257453	30.588	76.471	D
53	Spectrogram 1	1	2019/2/3  4:39:41.3103	8831.310349379	8840.254411491	21.176	27.059	Antarctic
54	Spectrogram 1	1	2019/2/3  4:45:31.9872	9181.987186025	9191.974722050	19.412	30.588	Antarctic
55	Spectrogram 1	1	2019/2/3  4:45:00.6830	9150.682968634	9154.335127329	50.588	88.235	D
56	Spectrogram 1	1	2019/2/3  4:44:57.4035	9147.403479193	9148.894156211	60.588	86.471	D
57	Spectrogram 1	1	2019/2/3  4:44:17.5279	9107.527868944	9116.546464907	18.235	30.588	Antarctic
58	Spectrogram 1	1	2019/2/3  4:45:57.6273	9207.627280745	9212.322913354	19.231	28.571	Antarctic
59	Spectrogram 1	1	2019/2/3  4:48:57.9251	9387.925116149	9397.987186025	19.780	29.121	Antarctic
60	Spectrogram 1	1	2019/2/3  4:50:22.5960	9472.596020807	9479.751270497	19.231	30.220	Antarctic
61	Spectrogram 1	1	2019/2/3  4:51:32.2112	9542.211191925	9553.093134161	17.582	28.571	Antarctic
62	Spectrogram 1	1	2019/2/3  4:53:19.0932	9649.093184161	9659.453389441	21.429	28.571	Antarctic
63	Spectrogram 1	1	2019/2/3  4:53:53.1552	9683.155154037	9690.384937578	21.429	29.121	Antarctic
64	Spectrogram 1	1	2019/2/3  4:54:19.6892	9709.689204969	9721.018350311	16.484	28.571	Antarctic
65	Spectrogram 1	1	2019/2/3  4:54:44.5090	9734.508977329	9742.409565528	14.835	28.571	Antarctic
66	Spectrogram 1	1	2019/2/3  4:54:54.9500	9744.950044099	9746.738856522	28.571	91.209	D
67	Spectrogram 1	1	2019/2/3  4:54:56.3662	9746.366187267	9748.005931988	31.868	78.022	D
68	Spectrogram 1	1	2019/2/3  4:54:55.6208	9745.620848758	9749.720210559	19.231	28.571	Antarctic
69	Spectrogram 1	1	2019/2/3  5:18:26.7451	11156.745138509	11162.633312733	19.231	28.571	Antarctic
71	Spectrogram 1	1	2019/2/3  5:26:34.5093	11344.509272981	11347.341559317	41.209	80.769	D
72	Spectrogram 1	1	2019/2/3  5:28:03.0555	11433.055487888	11436.484045031	34.066	73.077	D
73	Spectrogram 1	1	2019/2/3  5:28:32.8695	11462.869478261	11467.490577019	19.231	29.670	Antarctic
74	Spectrogram 1	1	2019/2/3  5:30:07.7515	11557.751520497	11568.857064286	15.385	28.022	Antarctic
76	Spectrogram 1	1	2019/2/3  5:32:00.7453	11670.745288509	11688.335277329	18.681	28.571	Antarctic
77	Spectrogram 1	1	2019/2/3  5:32:20.5712	11690.571192857	11693.179877640	31.868	65.934	D
78	Spectrogram 1	1	2019/2/3  4:11:04.5712	7114.571242857	7118.074333851	31.217	74.603	D
79	Spectrogram 1	1	2019/2/3  4:38:08.6706	8738.670604658	8744.931448137	21.164	30.159	Antarctic
80	Spectrogram 1	1	2019/2/3  5:32:33.7328	11703.732824534	11705.819772360	33.862	67.196	D
81	Spectrogram 1	1	2019/2/3  5:32:39.2483	11709.248329503	11711.558878882	31.217	69.312	D
82	Spectrogram 1	1	2019/2/3  5:32:42.9750	11712.975022050	11715.360105280	19.577	71.429	D
83	Spectrogram 1	1	2019/2/3  5:32:51.4719	11721.471881056	11724.527768944	39.683	73.545	D
84	Spectrogram 1	1	2019/2/3  5:32:55.9439	11725.943912112	11727.732724534	35.450	72.487	D
85	Spectrogram 1	1	2019/2/3  5:32:58.1799	11728.179927640	11730.788612422	21.693	71.429	D
86	Spectrogram 1	1	2019/2/3  5:33:11.9998	11740.999750000	11743.682968634	14.815	67.725	D
87	Spectrogram 1	1	2019/2/3  5:33:50.1300	11780.130021739	11787.210737578	21.164	28.571	Antarctic
88	Spectrogram 1	1	2019/2/3  5:41:57.0619	12267.061919876	12268.403529193	37.566	69.841	D
89	Spectrogram 1	1	2019/2/3  5:42:42.6021	12312.602102795	12319.384683230	14.286	30.159	Antarctic
90	Spectrogram 1	1	2019/2/3  5:45:43.1425	12493.142535714	12504.024477950	16.931	29.101	Antarctic
91	Spectrogram 1	1	2019/2/3  5:45:19.8134	12469.813440373	12471.378651242	22.222	67.196	D
92	Spectrogram 1	1	2019/2/3  5:47:11.5401	12581.540132919	12589.217119565	19.577	31.217	Antarctic
93	Spectrogram 1	1	2019/2/3  5:46:22.3478	12532.347791304	12539.950244099	18.519	29.630	Antarctic
94	Spectrogram 1	1	2019/2/3  5:48:06.7702	12636.770166460	12648.471981056	20.635	29.101	Antarctic
95	Spectrogram 1	1	2019/2/3  5:48:19.0683	12649.068251863	12650.931598137	32.804	66.667	D
96	Spectrogram 1	1	2019/2/3  5:48:36.1365	12666.136503727	12669.117857764	46.032	74.603	D
97	Spectrogram 1	1	2019/2/3  5:50:44.5588	12794.558778882	12796.273057453	20.106	37.037	20Hz
98	Spectrogram 1	1	2019/2/3  5:50:45.8259	12795.825854348	12797.540132919	22.222	38.624	20Hz
99	Spectrogram 1	1	2019/2/3  5:50:51.6395	12801.639494720	12803.726442547	19.048	39.683	20Hz
100	Spectrogram 1	1	2019/2/3  5:52:27.0433	12897.043273913	12906.210937578	14.815	29.630	Antarctic
101	Spectrogram 1	1	2019/2/3  5:52:39.8631	12909.863096273	12915.080465839	16.402	28.571	Antarctic
102	Spectrogram 1	1	2019/2/3  5:59:24.2110	13314.211037578	13317.714128571	17.460	28.042	Antarctic
103	Spectrogram 1	1	2019/2/3  6:05:26.1987	13526.198723602	13528.732874534	34.921	69.841	D
104	Spectrogram 1	1	2019/2/3  6:06:57.8008	13617.800826398	13625.925016149	17.989	30.159	Antarctic
105	Spectrogram 1	1	2019/2/3  6:09:06.5217	13746.521686957	13750.173845652	16.402	29.101	Antarctic
